RUN	N_CONTIGS	ASSEMBLED_BP
SRR21621033	307498	446296034
SRR21621034	224525	337781305
SRR21621035	276338	437070619
SRR21621036	312899	466047880
SRR21621037	288010	441573308
SRR21621038	320379	479801986
SRR21621039	415868	545505475
SRR21621040	396771	567615457
SRR21621041	151395	248214096
SRR21621042	120935	228979026
SRR21621043	211920	339692271
SRR21621044	122512	233574895
SRR21621045	225769	341631372
SRR21621046	182637	281371558
SRR21621047	368474	503608053
SRR21621048	348749	461411714
SRR27639468	146314	234029627
SRR27639469	151300	219864286
SRR27639470	292714	387043635
SRR27639475	113632	184800147
SRR27639476	137510	209474215
SRR27639477	219716	309563129
SRR35815510	78642	140788864
SRR35815511	387472	436523732
SRR35815512	201387	327489051
SRR35815513	352456	368935246
SRR35815514	312854	366121565
SRR35815515	113557	222421562
SRR35815516	301236	334886613
SRR35815517	238713	373301599
SRR35815518	379164	524534877
SRR35815519	443958	565977160
SRR35815520	481939	657804322
SRR35815521	495890	591203748
SRR35815522	563159	690108103
SRR35815523	725662	1029480985
SRR35815524	457989	562979614
SRR35815525	486838	700730235
SRR35815526	548008	691371305
SRR35815527	526638	647541150
SRR35815528	83454	131486596
SRR35815529	340894	403206434
