BIOSAMPLE	ATTRIBUTE	VALUE
SAMN04262535	ENA_first_public	2025-10-14
SAMN04262535	ENA-CHECKLIST	ERC000047
SAMN04262535	GUNC_clade_separation_score	0.29
SAMN04262535	GUNC_contamination_score	0.04
SAMN04262535	GUNC_reference_representation_score	0.87
SAMN04262535	GUNC_version	GUNC v1.0.6
SAMN04262535	INSDC_center_name	EMBL Heidelberg
SAMN04262535	INSDC_status	public
SAMN04262535	MAG_coverage_software	bwa mem
SAMN04262535	SPIRE_genome_cluster	https://spire.embl.de/spire/v1/cluster/specI_v4_00168
SAMN04262535	SPIRE_genome_id	https://spire.embl.de/spire/v1/genome/spire_mag_01092203
SAMN04262535	Submitter_Id	spire_mag_01092203
SAMN04262535	assembly_quality	Many fragments with little to no review of assembly other than reporting of standard assembly statistics
SAMN04262535	assembly_software	megahit 1.2.9
SAMN04262535	binning_parameters	tetramer and coverage
SAMN04262535	binning_software	metaBAT2 v2.12.1
SAMN04262535	env_broad_scale	missing: third party data
SAMN04262535	collection_date	missing: third party data
SAMN04262535	completeness_score	93.76
SAMN04262535	completeness_software	CheckM2 v0.1.3
SAMN04262535	contamination_score	1.94
SAMN04262535	contig_N50	15687
SAMN04262535	derived_from_assembly	ERZ27289542
SAMN04262535	env_medium	missing: third party data
SAMN04262535	geo_loc_name	missing: third party data
SAMN04262535	geographic_location_(latitude)	missing: third party data
SAMN04262535	geographic_location_(longitude)	missing: third party data
SAMN04262535	isolation_source	missing: third party data
SAMN04262535	linked_to_SPIRE_sample	https://spire.embl.de/spire/v1/sample/75806
SAMN04262535	linked_to_SPIRE_study	https://spire.embl.de/spire/v1/study/501
SAMN04262535	linked_to_analysis_project	ERP175227
SAMN04262535	local_environmental_context	missing: third party data
SAMN04262535	metagenomic_source	metagenomes
SAMN04262535	number_of_contigs	236
SAMN04262535	project_name	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource
SAMN04262535	sample_derived_from	SAMN04262535
SAMN04262535	sample_name	spire_mag_01092203
SAMN04262535	scientific_name	Lachnospiraceae bacterium
SAMN04262535	taxonomic_classification	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
SAMN04262535	taxonomic_classification_software	GTDBtk v2.3.2_r214
SAMN04262535	taxonomic_identity_marker	multi-marker approach
SAMN04262537	ENA_first_public	2025-10-13
SAMN04262537	ENA-CHECKLIST	ERC000047
SAMN04262537	GUNC_clade_separation_score	0.0
SAMN04262537	GUNC_contamination_score	0.0
SAMN04262537	GUNC_reference_representation_score	0.94
SAMN04262537	GUNC_version	GUNC v1.0.6
SAMN04262537	INSDC_center_name	EMBL Heidelberg
SAMN04262537	INSDC_status	public
SAMN04262537	MAG_coverage_software	bwa mem
SAMN04262537	SPIRE_genome_cluster	https://spire.embl.de/spire/v1/cluster/specI_v4_00075
SAMN04262537	SPIRE_genome_id	https://spire.embl.de/spire/v1/genome/spire_mag_01092857
SAMN04262537	Submitter_Id	spire_mag_01092857
SAMN04262537	assembly_quality	Many fragments with little to no review of assembly other than reporting of standard assembly statistics
SAMN04262537	assembly_software	megahit 1.2.9
SAMN04262537	binning_parameters	tetramer and coverage
SAMN04262537	binning_software	metaBAT2 v2.12.1
SAMN04262537	env_broad_scale	missing: third party data
SAMN04262537	collection_date	missing: third party data
SAMN04262537	completeness_score	80.07
SAMN04262537	completeness_software	CheckM2 v0.1.3
SAMN04262537	contamination_score	2.22
SAMN04262537	contig_N50	7286
SAMN04262537	derived_from_assembly	ERZ27289543
SAMN04262537	env_medium	missing: third party data
SAMN04262537	geo_loc_name	missing: third party data
SAMN04262537	geographic_location_(latitude)	missing: third party data
SAMN04262537	geographic_location_(longitude)	missing: third party data
SAMN04262537	isolation_source	missing: third party data
SAMN04262537	linked_to_SPIRE_sample	https://spire.embl.de/spire/v1/sample/75770
SAMN04262537	linked_to_SPIRE_study	https://spire.embl.de/spire/v1/study/501
SAMN04262537	linked_to_analysis_project	ERP175227
SAMN04262537	local_environmental_context	missing: third party data
SAMN04262537	metagenomic_source	metagenomes
SAMN04262537	number_of_contigs	230
SAMN04262537	project_name	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource
SAMN04262537	sample_derived_from	SAMN04262537
SAMN04262537	sample_name	spire_mag_01092857
SAMN04262537	scientific_name	Bifidobacterium adolescentis
SAMN04262537	taxonomic_classification	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis
SAMN04262537	taxonomic_classification_software	GTDBtk v2.3.2_r214
SAMN04262537	taxonomic_identity_marker	multi-marker approach
SAMN04262538	ENA_first_public	2025-10-14
SAMN04262538	ENA-CHECKLIST	ERC000047
SAMN04262538	GUNC_clade_separation_score	0.0
SAMN04262538	GUNC_contamination_score	0.0
SAMN04262538	GUNC_reference_representation_score	0.91
SAMN04262538	GUNC_version	GUNC v1.0.6
SAMN04262538	INSDC_center_name	EMBL Heidelberg
SAMN04262538	INSDC_status	public
SAMN04262538	MAG_coverage_software	bwa mem
SAMN04262538	SPIRE_genome_cluster	https://spire.embl.de/spire/v1/cluster/specI_v4_00349
SAMN04262538	SPIRE_genome_id	https://spire.embl.de/spire/v1/genome/spire_mag_01090444
SAMN04262538	Submitter_Id	spire_mag_01090444
SAMN04262538	assembly_quality	Many fragments with little to no review of assembly other than reporting of standard assembly statistics
SAMN04262538	assembly_software	megahit 1.2.9
SAMN04262538	binning_parameters	tetramer and coverage
SAMN04262538	binning_software	metaBAT2 v2.12.1
SAMN04262538	env_broad_scale	missing: third party data
SAMN04262538	collection_date	missing: third party data
SAMN04262538	completeness_score	59.71
SAMN04262538	completeness_software	CheckM2 v0.1.3
SAMN04262538	contamination_score	0.74
SAMN04262538	contig_N50	4977
SAMN04262538	derived_from_assembly	ERZ27289545
SAMN04262538	env_medium	missing: third party data
SAMN04262538	geo_loc_name	missing: third party data
SAMN04262538	geographic_location_(latitude)	missing: third party data
SAMN04262538	geographic_location_(longitude)	missing: third party data
SAMN04262538	isolation_source	missing: third party data
SAMN04262538	linked_to_SPIRE_sample	https://spire.embl.de/spire/v1/sample/75917
SAMN04262538	linked_to_SPIRE_study	https://spire.embl.de/spire/v1/study/501
SAMN04262538	linked_to_analysis_project	ERP175227
SAMN04262538	local_environmental_context	missing: third party data
SAMN04262538	metagenomic_source	metagenomes
SAMN04262538	number_of_contigs	244
SAMN04262538	project_name	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource
SAMN04262538	sample_derived_from	SAMN04262538
SAMN04262538	sample_name	spire_mag_01090444
SAMN04262538	scientific_name	Ligilactobacillus ruminis
SAMN04262538	taxonomic_classification	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis
SAMN04262538	taxonomic_classification_software	GTDBtk v2.3.2_r214
SAMN04262538	taxonomic_identity_marker	multi-marker approach
SAMN04262539	ENA_first_public	2025-10-14
