Run	BioProject	Experiment	LibraryName	Sample	SampleName	BioSample	ScientificName	LibraryStrategy	LibrarySource	LibrarySelection	spots	bases	avgLength	size_MB	Model
SRR21621033	PRJNA881852	SRX17621920	E_VB_post_a	SRS15157449	10_EVB	SAMN30917072	metagenome	WGS	METAGENOMIC	RANDOM PCR	60505963	18151788900	300	5876	Illumina NovaSeq 6000
SRR21621034	PRJNA881852	SRX17621919	E_VB_pre_a	SRS15157448	9_EVB	SAMN30917071	metagenome	WGS	METAGENOMIC	RANDOM PCR	47431509	14229452700	300	4621	Illumina NovaSeq 6000
SRR21621035	PRJNA881852	SRX17621918	I_CB_post_d	SRS15157447	8_ICB	SAMN30917070	metagenome	WGS	METAGENOMIC	RANDOM PCR	46349829	13904948700	300	4566	Illumina NovaSeq 6000
SRR21621036	PRJNA881852	SRX17621917	I_CB_pre_d	SRS15157446	7_ICB	SAMN30917069	metagenome	WGS	METAGENOMIC	RANDOM PCR	48957609	14687282700	300	4797	Illumina NovaSeq 6000
SRR21621037	PRJNA881852	SRX17621916	I_CB_post_c	SRS15157445	6_ICB	SAMN30917068	metagenome	WGS	METAGENOMIC	RANDOM PCR	50092846	15027853800	300	4912	Illumina NovaSeq 6000
SRR21621038	PRJNA881852	SRX17621915	I_CB_pre_c	SRS15157444	5_ICB	SAMN30917067	metagenome	WGS	METAGENOMIC	RANDOM PCR	51128606	15338581800	300	5006	Illumina NovaSeq 6000
SRR21621039	PRJNA881852	SRX17621914	I_VB_post_b	SRS15157443	4_IVB	SAMN30917066	metagenome	WGS	METAGENOMIC	RANDOM PCR	56665846	16999753800	300	5500	Illumina NovaSeq 6000
SRR21621040	PRJNA881852	SRX17621913	I_VB_pre_b	SRS15157442	3_IVB	SAMN30917065	metagenome	WGS	METAGENOMIC	RANDOM PCR	57645743	17293722900	300	5609	Illumina NovaSeq 6000
SRR21621041	PRJNA881852	SRX17621912	E_CB_post_d	SRS15157441	16_ECB	SAMN30917078	metagenome	WGS	METAGENOMIC	RANDOM PCR	46600557	13980167100	300	4581	Illumina NovaSeq 6000
SRR21621042	PRJNA881852	SRX17621911	E_CB_pre_d	SRS15157440	15_ECB	SAMN30917077	metagenome	WGS	METAGENOMIC	RANDOM PCR	49180197	14754059100	300	4809	Illumina NovaSeq 6000
SRR21621043	PRJNA881852	SRX17621910	E_CB_post_c	SRS15157439	14_ECB	SAMN30917076	metagenome	WGS	METAGENOMIC	RANDOM PCR	49272901	14781870300	300	4829	Illumina NovaSeq 6000
SRR21621044	PRJNA881852	SRX17621909	E_CB_pre_c	SRS15157438	13_ECB	SAMN30917075	metagenome	WGS	METAGENOMIC	RANDOM PCR	48449673	14534901900	300	4746	Illumina NovaSeq 6000
SRR21621045	PRJNA881852	SRX17621908	E_VB_post_b	SRS15157437	12_EVB	SAMN30917074	metagenome	WGS	METAGENOMIC	RANDOM PCR	54459191	16337757300	300	5279	Illumina NovaSeq 6000
SRR21621046	PRJNA881852	SRX17621907	E_VB_pre_b	SRS15157436	11_EVB	SAMN30917073	metagenome	WGS	METAGENOMIC	RANDOM PCR	40075212	12022563600	300	3898	Illumina NovaSeq 6000
SRR21621047	PRJNA881852	SRX17621906	I_VB_post_a	SRS15157435	2_IVB	SAMN30917064	metagenome	WGS	METAGENOMIC	RANDOM PCR	46053494	13816048200	300	4486	Illumina NovaSeq 6000
SRR21621048	PRJNA881852	SRX17621905	I_VB_pre_a	SRS15157434	1_IVB	SAMN30917063	metagenome	WGS	METAGENOMIC	RANDOM PCR	39397436	11819230800	300	3830	Illumina NovaSeq 6000
SRR27639468	PRJNA1066593	SRX23307606	I_WWCB	SRS20184083	I_WWCB	SAMN39496525	metagenome	WGS	METAGENOMIC	RANDOM PCR	24883393	7465017900	300	2508	Illumina NovaSeq 6000
SRR27639469	PRJNA1066593	SRX23307605	I_WWGV	SRS20184081	I_WWGV	SAMN39496524	metagenome	WGS	METAGENOMIC	RANDOM PCR	28436236	8530870800	300	2784	Illumina NovaSeq 6000
SRR27639470	PRJNA1066593	SRX23307604	I_WWVB	SRS20184074	I_WWVB	SAMN39496523	metagenome	WGS	METAGENOMIC	RANDOM PCR	31017230	9305169000	300	3130	Illumina NovaSeq 6000
SRR27639475	PRJNA1066593	SRX23307599	E_WWCB	SRS20184075	E_WWCB	SAMN39496534	metagenome	WGS	METAGENOMIC	RANDOM PCR	24086464	7225939200	300	2433	Illumina NovaSeq 6000
SRR27639476	PRJNA1066593	SRX23307598	E_WWGV	SRS20184077	E_WWGV	SAMN39496533	metagenome	WGS	METAGENOMIC	RANDOM PCR	46015835	13804750500	300	4611	Illumina NovaSeq 6000
SRR27639477	PRJNA1066593	SRX23307597	E_WWVB	SRS20184079	E_WWVB	SAMN39496532	metagenome	WGS	METAGENOMIC	RANDOM PCR	33792814	10137844200	300	3360	Illumina NovaSeq 6000
SRR29142450	PRJNA1115109	SRX24664010	JOOS_17	SRS21399307	WW-Intracellular	SAMN41509953	metagenome	WGS	METAGENOMIC	RANDOM	10378110	3045466564	293	1022	Illumina NovaSeq 6000
SRR29142451	PRJNA1115109	SRX24664009	JOOS_16	SRS21399306	WW-Extracellular	SAMN41509952	metagenome	WGS	METAGENOMIC	RANDOM	12077566	3529769541	292	1207	Illumina NovaSeq 6000
SRR2938125	PRJNA300541	SRX1440791	WGS_paired_SW001	SRS1170838	SW001	SAMN04262565	wastewater metagenome	WGS	METAGENOMIC	RANDOM	651704	90675497	139	48	Illumina HiSeq 2500
SRR2938126	PRJNA300541	SRX1440792	WGS_paired_SW003	SRS1170837	SW003	SAMN04262566	wastewater metagenome	WGS	METAGENOMIC	RANDOM	644292	89527402	138	47	Illumina HiSeq 2500
SRR2938127	PRJNA300541	SRX1440793	WGS_paired_SW004	SRS1170836	SW004	SAMN04262552	wastewater metagenome	WGS	METAGENOMIC	RANDOM	4744887	656516551	138	352	Illumina HiSeq 2500
SRR2938128	PRJNA300541	SRX1440794	WGS_paired_SW013	SRS1170835	SW013	SAMN04262553	wastewater metagenome	WGS	METAGENOMIC	RANDOM	5031708	698581308	138	362	Illumina HiSeq 2500
SRR2938129	PRJNA300541	SRX1440795	WGS_paired_SW014	SRS1170833	SW014	SAMN04262568	wastewater metagenome	WGS	METAGENOMIC	RANDOM	9803828	1365564336	139	718	Illumina HiSeq 2500
SRR2938130	PRJNA300541	SRX1440796	WGS_paired_SW166	SRS1170834	SW166	SAMN04262573	wastewater metagenome	WGS	METAGENOMIC	RANDOM	6309979	879096905	139	453	Illumina HiSeq 2500
SRR2938131	PRJNA300541	SRX1440797	WGS_paired_SW167	SRS1170832	SW167	SAMN04262559	wastewater metagenome	WGS	METAGENOMIC	RANDOM	11254902	1560641609	138	835	Illumina HiSeq 2500
SRR2938132	PRJNA300541	SRX1440798	WGS_paired_SW169	SRS1170831	SW169	SAMN04262560	wastewater metagenome	WGS	METAGENOMIC	RANDOM	14085485	1943557109	137	1048	Illumina HiSeq 2500
SRR2938311	PRJNA300541	SRX1440984	WGS_paired_SW012	SRS1170646	SW012	SAMN04262567	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1602205	455025652	283	208	NextSeq 500
SRR2938312	PRJNA300541	SRX1440985	WGS_paired_SW076	SRS1170645	SW076	SAMN04262569	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1781450	505930765	283	232	NextSeq 500
SRR2938313	PRJNA300541	SRX1440986	WGS_paired_SW078	SRS1170644	SW078	SAMN04262570	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1422299	403931977	283	183	NextSeq 500
SRR2938314	PRJNA300541	SRX1440987	WGS_paired_SW081	SRS1170643	SW081	SAMN04262535	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2941306	835329349	283	387	NextSeq 500
SRR2938315	PRJNA300541	SRX1440988	WGS_paired_SW083	SRS1170642	SW083	SAMN04262537	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2919857	829238156	283	394	NextSeq 500
SRR2938316	PRJNA300541	SRX1440989	WGS_paired_SW084	SRS1170641	SW084	SAMN04262538	wastewater metagenome	WGS	METAGENOMIC	RANDOM	4468721	1269114524	283	572	NextSeq 500
SRR2938317	PRJNA300541	SRX1440990	WGS_paired_SW085	SRS1170640	SW085	SAMN04262539	wastewater metagenome	WGS	METAGENOMIC	RANDOM	3266963	927815326	283	419	NextSeq 500
