RUN	BIOPROJECT	SITE	DNA_FRACTION	TREATMENT_STAGE	ARG_RICHNESS	SEQUENCED_BASES	SIZE_MB	N_CONTIGS	ASSEMBLED_BP
SRR21621033	PRJNA881852	VB	EXTRACELLULAR_DNA	POST_DISINFECTION	13	18151788900	5876.0	307498	446296034
SRR21621034	PRJNA881852	VB	EXTRACELLULAR_DNA	PRE_DISINFECTION	5	14229452700	4621.0	224525	337781305
SRR21621035	PRJNA881852	CB	INTRACELLULAR_DNA	POST_DISINFECTION	19	13904948700	4566.0	276338	437070619
SRR21621036	PRJNA881852	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	25	14687282700	4797.0	312899	466047880
SRR21621037	PRJNA881852	CB	INTRACELLULAR_DNA	POST_DISINFECTION	18	15027853800	4912.0	288010	441573308
SRR21621038	PRJNA881852	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	20	15338581800	5006.0	320379	479801986
SRR21621039	PRJNA881852	VB	INTRACELLULAR_DNA	POST_DISINFECTION	15	16999753800	5500.0	415868	545505475
SRR21621040	PRJNA881852	VB	INTRACELLULAR_DNA	PRE_DISINFECTION	16	17293722900	5609.0	396771	567615457
SRR21621041	PRJNA881852	CB	EXTRACELLULAR_DNA	POST_DISINFECTION	1	13980167100	4581.0	151395	248214096
SRR21621042	PRJNA881852	CB	EXTRACELLULAR_DNA	PRE_DISINFECTION	0	14754059100	4809.0	120935	228979026
SRR21621043	PRJNA881852	CB	EXTRACELLULAR_DNA	POST_DISINFECTION	4	14781870300	4829.0	211920	339692271
SRR21621044	PRJNA881852	CB	EXTRACELLULAR_DNA	PRE_DISINFECTION	0	14534901900	4746.0	122512	233574895
SRR21621045	PRJNA881852	VB	EXTRACELLULAR_DNA	POST_DISINFECTION	2	16337757300	5279.0	225769	341631372
SRR21621046	PRJNA881852	VB	EXTRACELLULAR_DNA	PRE_DISINFECTION	0	12022563600	3898.0	182637	281371558
SRR21621047	PRJNA881852	VB	INTRACELLULAR_DNA	POST_DISINFECTION	20	13816048200	4486.0	368474	503608053
SRR21621048	PRJNA881852	VB	INTRACELLULAR_DNA	PRE_DISINFECTION	19	11819230800	3830.0	348749	461411714
SRR27639468	PRJNA1066593	CB	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	3	7465017900	2508.0	146314	234029627
SRR27639469	PRJNA1066593	GV	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	8	8530870800	2784.0	151300	219864286
SRR27639470	PRJNA1066593	VB	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	11	9305169000	3130.0	292714	387043635
SRR27639475	PRJNA1066593	CB	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	1	7225939200	2433.0	113632	184800147
SRR27639476	PRJNA1066593	GV	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	2	13804750500	4611.0	137510	209474215
SRR27639477	PRJNA1066593	VB	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	1	10137844200	3360.0	219716	309563129
SRR35815510	PRJNA1346432	VB	EXTRACELLULAR_DNA	PRE_TREATMENT	0	13911742200	4652.0	78642	140788864
SRR35815511	PRJNA1346432	NO	EXTRACELLULAR_DNA	PRE_TREATMENT	8	14442252000	4804.0	387472	436523732
SRR35815512	PRJNA1346432	MZ	EXTRACELLULAR_DNA	PRE_TREATMENT	0	17512337100	5876.0	201387	327489051
SRR35815513	PRJNA1346432	GV	EXTRACELLULAR_DNA	PRE_TREATMENT	4	10616222100	3487.0	352456	368935246
SRR35815514	PRJNA1346432	VB	EXTRACELLULAR_DNA	POST_TREATMENT	72	14181647400	4705.0	312854	366121565
SRR35815515	PRJNA1346432	NO	EXTRACELLULAR_DNA	POST_TREATMENT	0	22469867700	7772.0	113557	222421562
SRR35815516	PRJNA1346432	MZ	EXTRACELLULAR_DNA	POST_TREATMENT	34	8550971400	2817.0	301236	334886613
SRR35815517	PRJNA1346432	CB	EXTRACELLULAR_DNA	PRE_TREATMENT	1	22113671700	7401.0	238713	373301599
SRR35815518	PRJNA1346432	VB	INTRACELLULAR_DNA	PRE_TREATMENT	8	21274364700	7261.0	379164	524534877
SRR35815519	PRJNA1346432	NO	INTRACELLULAR_DNA	PRE_TREATMENT	79	14112714600	4858.0	443958	565977160
SRR35815520	PRJNA1346432	MZ	INTRACELLULAR_DNA	PRE_TREATMENT	60	17788726500	6136.0	481939	657804322
SRR35815521	PRJNA1346432	GV	INTRACELLULAR_DNA	PRE_TREATMENT	94	16641642600	5708.0	495890	591203748
SRR35815522	PRJNA1346432	VB	INTRACELLULAR_DNA	POST_TREATMENT	127	18238722600	6229.0	563159	690108103
SRR35815523	PRJNA1346432	NO	INTRACELLULAR_DNA	POST_TREATMENT	28	29330961000	9909.0	725662	1029480985
SRR35815524	PRJNA1346432	MZ	INTRACELLULAR_DNA	POST_TREATMENT	78	14445054300	5010.0	457989	562979614
SRR35815525	PRJNA1346432	CB	INTRACELLULAR_DNA	PRE_TREATMENT	12	19592851800	6649.0	486838	700730235
SRR35815526	PRJNA1346432	GV	INTRACELLULAR_DNA	POST_TREATMENT	19	20423917200	6830.0	548008	691371305
SRR35815527	PRJNA1346432	CB	INTRACELLULAR_DNA	POST_TREATMENT	94	19078268100	6607.0	526638	647541150
SRR35815528	PRJNA1346432	GV	EXTRACELLULAR_DNA	POST_TREATMENT	0	15831469800	5363.0	83454	131486596
SRR35815529	PRJNA1346432	CB	EXTRACELLULAR_DNA	POST_TREATMENT	2	15383628900	5245.0	340894	403206434
