GENE_CLEAN	ASSEMBLY_30_CANDIDATE	I_GREATER_UNITS	E_GREATER_UNITS	EQUAL_UNITS	PROJECTS_I_FAVOURING	PROJECTS_E_FAVOURING	PROJECTS_BALANCED	MEDIAN_I_MINUS_E_FPM	MEAN_I_MINUS_E_FPM	EXACT_SIGN_TEST_P	TARGETED_30_Q	BH_FDR_Q_ALL_229	ALL229_RESULT_CLASS
ARR-3	0	5	0	7	1	0	2	0.0000000000	0.6462832781	0.062500000	NA	0.198784722	OTHER
ARR-4	0	2	0	10	0	0	3	0.0000000000	0.0061792878	0.500000000	NA	0.817857143	OTHER
ARR-5	0	1	0	11	0	0	3	0.0000000000	0.0064320417	1.000000000	NA	1.000000000	OTHER
ARR-6	0	2	0	10	0	0	3	0.0000000000	0.0349944564	0.500000000	NA	0.817857143	OTHER
ARR-8	0	4	1	7	1	0	2	0.0000000000	0.3131735841	0.375000000	NA	0.692540323	OTHER
CmlA7	0	5	0	7	1	0	2	0.0000000000	0.6324788935	0.062500000	NA	0.198784722	OTHER
FloR	0	4	0	8	1	0	2	0.0000000000	0.1138941862	0.125000000	NA	0.321629213	OTHER
OqxA	0	3	0	9	1	0	2	0.0000000000	0.2131886590	0.250000000	NA	0.506637168	OTHER
OqxB	0	3	0	9	1	0	2	0.0000000000	0.7182008358	0.250000000	NA	0.506637168	OTHER
TOprJ3	0	3	0	9	1	0	2	0.0000000000	0.1013220193	0.250000000	NA	0.506637168	OTHER
aac(3)-IIa	0	4	1	7	1	0	2	0.0000000000	-0.1291648626	0.375000000	NA	0.692540323	OTHER
aac(3)-IId	0	1	0	11	0	0	3	0.0000000000	0.0385496821	1.000000000	NA	1.000000000	OTHER
aac(3)-Ia	0	5	0	7	1	0	2	0.0000000000	0.4896047378	0.062500000	NA	0.198784722	OTHER
aac(6')-31	0	4	0	8	1	0	2	0.0000000000	0.0957636585	0.125000000	NA	0.321629213	OTHER
aac(6')-IIa	0	1	1	10	0	0	3	0.0000000000	-0.0216086454	1.000000000	NA	1.000000000	OTHER
aac(6')-IIc	0	1	1	10	0	0	3	0.0000000000	-0.1160905735	1.000000000	NA	1.000000000	OTHER
aac(6')-Ib	0	1	0	11	0	0	3	0.0000000000	0.0064320417	1.000000000	NA	1.000000000	OTHER
aac(6')-Ib-cr	0	3	1	8	1	0	2	0.0000000000	-0.0439884704	0.625000000	NA	1.000000000	OTHER
aac(6')-Ii	0	2	0	10	0	0	3	0.0000000000	0.0224990066	0.500000000	NA	0.817857143	OTHER
aac(6')-Im	0	3	0	9	1	0	2	0.0000000000	0.0459406529	0.250000000	NA	0.506637168	OTHER
aac(6')-aph(2'')	0	1	0	11	0	0	3	0.0000000000	0.0281529883	1.000000000	NA	1.000000000	OTHER
aadA1	0	4	1	7	1	0	2	0.0000000000	0.5131904060	0.375000000	NA	0.692540323	OTHER
aadA10	0	5	0	7	1	0	2	0.0000000000	0.4292865108	0.062500000	NA	0.198784722	OTHER
aadA11	0	7	0	5	2	0	1	0.2771089742	0.5290778420	0.015625000	NA	0.149088542	OTHER
aadA13	1	6	0	6	1	0	2	0.1537099155	0.7870781038	0.031250000	0.036057692	0.198784722	OTHER
aadA16	0	0	1	11	0	0	3	0.0000000000	-0.0227098878	1.000000000	NA	1.000000000	OTHER
aadA17	0	0	1	11	0	0	3	0.0000000000	-0.0800418700	1.000000000	NA	1.000000000	OTHER
aadA1b	0	1	0	11	0	0	3	0.0000000000	0.0421190972	1.000000000	NA	1.000000000	OTHER
aadA2	0	4	1	7	1	0	2	0.0000000000	0.1066102314	0.375000000	NA	0.692540323	OTHER
aadA24	0	3	0	9	1	0	2	0.0000000000	0.0683079367	0.250000000	NA	0.506637168	OTHER
aadA3	0	0	1	11	0	0	3	0.0000000000	-0.0092002149	1.000000000	NA	1.000000000	OTHER
aadA4	0	1	0	11	0	0	3	0.0000000000	0.0142776601	1.000000000	NA	1.000000000	OTHER
aadA5	1	7	0	5	2	0	1	0.1831471143	0.6287843363	0.015625000	0.023437500	0.149088542	OTHER
aadA6	1	6	0	6	1	0	2	0.7767578822	1.6349226926	0.031250000	0.036057692	0.198784722	OTHER
aadA7	0	5	0	7	1	0	2	0.0000000000	0.0942717414	0.062500000	NA	0.198784722	OTHER
aadD	0	1	0	11	0	0	3	0.0000000000	0.0041866642	1.000000000	NA	1.000000000	OTHER
ampH	0	1	0	11	0	0	3	0.0000000000	0.0083733284	1.000000000	NA	1.000000000	OTHER
ampS	0	1	2	9	0	0	3	0.0000000000	-0.3498065745	1.000000000	NA	1.000000000	OTHER
ant(2'')-Ia	0	5	0	7	1	0	2	0.0000000000	0.0843339259	0.062500000	NA	0.198784722	OTHER
ant(3'')-Ia	1	6	1	5	2	0	1	0.4095390203	1.8112441927	0.125000000	0.129310345	0.321629213	OTHER
ant(3'')-Ii-aac(6')-IId	0	3	0	9	1	0	2	0.0000000000	1.0637318326	0.250000000	NA	0.506637168	OTHER
ant(6)-Ia	0	5	0	7	1	0	2	0.0000000000	1.3460281714	0.062500000	NA	0.198784722	OTHER
ant(6)-Ib	0	1	0	11	0	0	3	0.0000000000	0.0168917930	1.000000000	NA	1.000000000	OTHER
aph(2'')-Ia	0	1	0	11	0	0	3	0.0000000000	0.5425510820	1.000000000	NA	1.000000000	OTHER
aph(3'')-Ib	1	11	0	1	3	0	0	0.6390756382	2.4166243649	0.000976562	0.004882812	0.037272135	ALL229_FDR_I_ALL_3
aph(3')-III	0	5	0	7	1	0	2	0.0000000000	0.4537069332	0.062500000	NA	0.198784722	OTHER
aph(3')-Ia	0	4	1	7	1	0	2	0.0000000000	-0.0226175605	0.375000000	NA	0.692540323	OTHER
aph(3')-VI	0	2	0	10	0	0	3	0.0000000000	0.0775307388	0.500000000	NA	0.817857143	OTHER
aph(3')-VIa	0	1	0	11	0	0	3	0.0000000000	0.0294036190	1.000000000	NA	1.000000000	OTHER
aph(3')-VIb	0	1	1	10	0	0	3	0.0000000000	-0.1446951210	1.000000000	NA	1.000000000	OTHER
aph(6)-Id	1	11	0	1	3	0	0	0.7702246977	2.1858754641	0.000976562	0.004882812	0.037272135	ALL229_FDR_I_ALL_3
blaACI-1	0	5	0	7	1	0	2	0.0000000000	0.0914851998	0.062500000	NA	0.198784722	OTHER
blaAER-1	0	4	0	8	1	0	2	0.0000000000	0.1437184186	0.125000000	NA	0.321629213	OTHER
blaBEL-1	1	8	0	4	2	0	1	0.3338811543	0.5515857462	0.007812500	0.015625000	0.111816406	OTHER
blaCMY-82	0	1	0	11	0	0	3	0.0000000000	0.0171331921	1.000000000	NA	1.000000000	OTHER
blaCTX-M-12	0	1	0	11	0	0	3	0.0000000000	0.0085665960	1.000000000	NA	1.000000000	OTHER
blaCTX-M-169	0	1	0	11	0	0	3	0.0000000000	0.0078527130	1.000000000	NA	1.000000000	OTHER
blaCTX-M-177	0	1	0	11	0	0	3	0.0000000000	0.0242720221	1.000000000	NA	1.000000000	OTHER
blaCTX-M-3	0	1	0	11	0	0	3	0.0000000000	0.0986915860	1.000000000	NA	1.000000000	OTHER
blaCTX-M-36	0	1	0	11	0	0	3	0.0000000000	0.1128433717	1.000000000	NA	1.000000000	OTHER
blaEBR-1	0	2	0	10	0	0	3	0.0000000000	0.0477540866	0.500000000	NA	0.817857143	OTHER
blaFOX-2	0	0	1	11	0	0	3	0.0000000000	-0.3367278667	1.000000000	NA	1.000000000	OTHER
blaFOX-3	0	0	1	11	0	0	3	0.0000000000	-0.0557157437	1.000000000	NA	1.000000000	OTHER
blaFOX-4	0	1	0	11	0	0	3	0.0000000000	0.0378357991	1.000000000	NA	1.000000000	OTHER
blaFOX-5	0	0	1	11	0	0	3	0.0000000000	-0.1134904097	1.000000000	NA	1.000000000	OTHER
blaFOX-7	0	1	0	11	0	0	3	0.0000000000	0.0137279718	1.000000000	NA	1.000000000	OTHER
blaFOX-9	0	0	1	11	0	0	3	0.0000000000	-0.0800418700	1.000000000	NA	1.000000000	OTHER
blaGES-1	0	3	1	8	1	0	2	0.0000000000	0.3292856878	0.625000000	NA	1.000000000	OTHER
blaGES-2	0	1	0	11	0	0	3	0.0000000000	0.0404710873	1.000000000	NA	1.000000000	OTHER
blaGES-5	0	4	1	7	1	0	2	0.0000000000	0.0069535395	0.375000000	NA	0.692540323	OTHER
blaIMP-16	1	9	0	3	2	0	1	0.1541126184	0.2724028248	0.003906250	0.010653409	0.081321023	OTHER
blaIMP-28	0	3	0	9	1	0	2	0.0000000000	0.0382821906	0.250000000	NA	0.506637168	OTHER
blaIMP-33	1	7	0	5	2	0	1	0.0879183835	0.2140587076	0.015625000	0.023437500	0.149088542	OTHER
blaIMP-5	0	0	1	11	0	0	3	0.0000000000	-0.0416010966	1.000000000	NA	1.000000000	OTHER
blaKLUC-2	0	1	0	11	0	0	3	0.0000000000	0.0471162782	1.000000000	NA	1.000000000	OTHER
blaKPC-2	0	1	0	11	0	0	3	0.0000000000	0.0142776601	1.000000000	NA	1.000000000	OTHER
blaLCR-1	0	2	0	10	0	0	3	0.0000000000	0.0310449341	0.500000000	NA	0.817857143	OTHER
blaMOX-6	0	0	1	11	0	0	3	0.0000000000	-0.2180450940	1.000000000	NA	1.000000000	OTHER
blaNDM-14	0	1	0	11	0	0	3	0.0000000000	0.0072677498	1.000000000	NA	1.000000000	OTHER
blaOKP-A-8	0	1	0	11	0	0	3	0.0000000000	0.0153511021	1.000000000	NA	1.000000000	OTHER
blaOXA-1	0	1	1	10	0	0	3	0.0000000000	-0.3598171994	1.000000000	NA	1.000000000	OTHER
blaOXA-10	1	8	1	3	2	0	1	0.4479470244	1.4463148703	0.039062500	0.043402778	0.198784722	OTHER
blaOXA-101	1	7	0	5	2	0	1	0.1613714004	0.5597389736	0.015625000	0.023437500	0.149088542	OTHER
blaOXA-118	0	2	0	10	0	0	3	0.0000000000	0.2042130498	0.500000000	NA	0.817857143	OTHER
blaOXA-119	1	6	0	6	1	0	2	0.0604867654	0.7733686279	0.031250000	0.036057692	0.198784722	OTHER
blaOXA-129	0	5	0	7	1	0	2	0.0000000000	0.4216075162	0.062500000	NA	0.198784722	OTHER
blaOXA-17	0	1	0	11	0	0	3	0.0000000000	0.0292692031	1.000000000	NA	1.000000000	OTHER
blaOXA-2	0	7	0	5	2	0	1	0.1822931897	0.4555413753	0.015625000	NA	0.149088542	OTHER
blaOXA-20	1	7	0	5	2	0	1	0.6445843445	0.6837877056	0.015625000	0.023437500	0.149088542	OTHER
blaOXA-205	1	9	0	3	2	0	1	0.5162502224	0.6985438392	0.003906250	0.010653409	0.081321023	OTHER
blaOXA-21	0	2	1	9	0	0	3	0.0000000000	-0.0114475385	1.000000000	NA	1.000000000	OTHER
blaOXA-211	0	5	0	7	1	0	2	0.0000000000	1.3650265169	0.062500000	NA	0.198784722	OTHER
blaOXA-212	0	5	0	7	1	0	2	0.0000000000	0.7401032947	0.062500000	NA	0.198784722	OTHER
blaOXA-256	0	3	0	9	1	0	2	0.0000000000	0.0613763639	0.250000000	NA	0.506637168	OTHER
blaOXA-275	0	3	0	9	1	0	2	0.0000000000	0.0671805175	0.250000000	NA	0.506637168	OTHER
blaOXA-280	0	5	0	7	1	0	2	0.0000000000	1.1451224497	0.062500000	NA	0.198784722	OTHER
blaOXA-281	0	5	0	7	1	0	2	0.0000000000	0.3356384175	0.062500000	NA	0.198784722	OTHER
blaOXA-296	0	5	1	6	1	0	2	0.0000000000	2.6877322047	0.218750000	NA	0.506637168	OTHER
