RUN	BIOPROJECT	SRA_STUDY	LIBRARY_NAME	SAMPLE_NAME	BIOSAMPLE	GEO_LOC_NAME	COLLECTION_DATE	STUDY_DESIGN	SITE	DNA_FRACTION	TREATMENT_STAGE	MATCHED_UNIT_ID	TREATMENT_PAIR_ID	FRACTION_PAIR_ID	ANALYSIS_ROLE	INFERENTIAL_USE	ARG_TOTAL_HITS	ARG_UNIQUE_NORMALIZED_LABELS
SRR21621033	PRJNA881852	SRP397973	E_VB_post_a	10_EVB	SAMN30917072	Italy: Verbania	2021-11-29	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	VB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:A	PRJNA881852:VB:A:EXTRACELLULAR_DNA	PRJNA881852:VB:A:POST_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	13	13
SRR21621034	PRJNA881852	SRP397973	E_VB_pre_a	9_EVB	SAMN30917071	Italy: Verbania	2021-11-29	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	VB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:A	PRJNA881852:VB:A:EXTRACELLULAR_DNA	PRJNA881852:VB:A:PRE_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	5	5
SRR21621035	PRJNA881852	SRP397973	I_CB_post_d	8_ICB	SAMN30917070	Italy: Cannobio	2021-12-21	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:INTRACELLULAR_DNA	PRJNA881852:CB:D:POST_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	19	19
SRR21621036	PRJNA881852	SRP397973	I_CB_pre_d	7_ICB	SAMN30917069	Italy: Cannobio	2021-12-21	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:INTRACELLULAR_DNA	PRJNA881852:CB:D:PRE_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	25	25
SRR21621037	PRJNA881852	SRP397973	I_CB_post_c	6_ICB	SAMN30917068	Italy: Cannobio	2021-12-14	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:C	PRJNA881852:CB:C:INTRACELLULAR_DNA	PRJNA881852:CB:C:POST_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	18	18
SRR21621038	PRJNA881852	SRP397973	I_CB_pre_c	5_ICB	SAMN30917067	Italy: Cannobio	2021-12-14	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:C	PRJNA881852:CB:C:INTRACELLULAR_DNA	PRJNA881852:CB:C:PRE_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	20	20
SRR21621039	PRJNA881852	SRP397973	I_VB_post_b	4_IVB	SAMN30917066	Italy: Verbania	2021-12-06	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	VB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:B	PRJNA881852:VB:B:INTRACELLULAR_DNA	PRJNA881852:VB:B:POST_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	15	15
SRR21621040	PRJNA881852	SRP397973	I_VB_pre_b	3_IVB	SAMN30917065	Italy: Verbania	2021-12-06	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	VB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:B	PRJNA881852:VB:B:INTRACELLULAR_DNA	PRJNA881852:VB:B:PRE_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	16	16
SRR21621041	PRJNA881852	SRP397973	E_CB_post_d	16_ECB	SAMN30917078	Italy: Cannobio	2021-12-21	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:EXTRACELLULAR_DNA	PRJNA881852:CB:D:POST_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	1	1
SRR21621042	PRJNA881852	SRP397973	E_CB_pre_d	15_ECB	SAMN30917077	Italy: Cannobio	2021-12-21	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:EXTRACELLULAR_DNA	PRJNA881852:CB:D:PRE_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	0	0
SRR21621043	PRJNA881852	SRP397973	E_CB_post_c	14_ECB	SAMN30917076	Italy: Cannobio	2021-12-14	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:C	PRJNA881852:CB:C:EXTRACELLULAR_DNA	PRJNA881852:CB:C:POST_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	4	4
SRR21621044	PRJNA881852	SRP397973	E_CB_pre_c	13_ECB	SAMN30917075	Italy: Cannobio	2021-12-14	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	CB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:C	PRJNA881852:CB:C:EXTRACELLULAR_DNA	PRJNA881852:CB:C:PRE_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	0	0
SRR21621045	PRJNA881852	SRP397973	E_VB_post_b	12_EVB	SAMN30917074	Italy: Verbania	2021-12-06	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	VB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:B	PRJNA881852:VB:B:EXTRACELLULAR_DNA	PRJNA881852:VB:B:POST_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	2	2
SRR21621046	PRJNA881852	SRP397973	E_VB_pre_b	11_EVB	SAMN30917073	Italy: Verbania	2021-12-06	2_FRACTIONS_X_2_STAGES_X_4_MATCHED_UNITS	VB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:B	PRJNA881852:VB:B:EXTRACELLULAR_DNA	PRJNA881852:VB:B:PRE_DISINFECTION	PRIMARY_MATCHED_FACTORIAL_WITHIN_STUDY	YES	0	0
