GENE_CLEAN	BIOPROJECT	MATCHED_UNIT_ID	N_E	N_I	E_MEAN_FPM	I_MEAN_FPM	I_MINUS_E_FPM	I_DETECTED	E_DETECTED	DIRECTION
aadA13	PRJNA1066593	PRJNA1066593:CB	1	1	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA13	PRJNA1066593	PRJNA1066593:GV	1	1	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA13	PRJNA1066593	PRJNA1066593:VB	1	1	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA13	PRJNA1346432	PRJNA1346432:CB	2	2	0.0000000000	1.3983458423	1.3983458423	1	0	I_GREATER
aadA13	PRJNA1346432	PRJNA1346432:GV	2	2	0.0000000000	1.9380666011	1.9380666011	1	0	I_GREATER
aadA13	PRJNA1346432	PRJNA1346432:MZ	2	2	0.0000000000	2.9783614042	2.9783614042	1	0	I_GREATER
aadA13	PRJNA1346432	PRJNA1346432:NO	2	2	0.0000000000	0.8445896488	0.8445896488	1	0	I_GREATER
aadA13	PRJNA1346432	PRJNA1346432:VB	2	2	0.3091272219	2.2872811406	1.9781539187	1	1	I_GREATER
aadA13	PRJNA881852	PRJNA881852:CB:C	2	2	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA13	PRJNA881852	PRJNA881852:CB:D	2	2	0.0000000000	0.3074198310	0.3074198310	1	0	I_GREATER
aadA13	PRJNA881852	PRJNA881852:VB:A	2	2	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA13	PRJNA881852	PRJNA881852:VB:B	2	2	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA5	PRJNA1066593	PRJNA1066593:CB	1	1	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA5	PRJNA1066593	PRJNA1066593:GV	1	1	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA5	PRJNA1066593	PRJNA1066593:VB	1	1	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA5	PRJNA1346432	PRJNA1346432:CB	2	2	0.0000000000	0.8791994816	0.8791994816	1	0	I_GREATER
aadA5	PRJNA1346432	PRJNA1346432:GV	2	2	0.0000000000	1.4438596178	1.4438596178	1	0	I_GREATER
aadA5	PRJNA1346432	PRJNA1346432:MZ	2	2	0.0000000000	1.7784842837	1.7784842837	1	0	I_GREATER
aadA5	PRJNA1346432	PRJNA1346432:NO	2	2	0.0000000000	1.0472911645	1.0472911645	1	0	I_GREATER
aadA5	PRJNA1346432	PRJNA1346432:VB	2	2	0.0000000000	2.0302832597	2.0302832597	1	0	I_GREATER
aadA5	PRJNA881852	PRJNA881852:CB:C	2	2	0.0000000000	0.2013303230	0.2013303230	1	0	I_GREATER
aadA5	PRJNA881852	PRJNA881852:CB:D	2	2	0.0000000000	0.1649639056	0.1649639056	1	0	I_GREATER
aadA5	PRJNA881852	PRJNA881852:VB:A	2	2	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA5	PRJNA881852	PRJNA881852:VB:B	2	2	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
aadA6	PRJNA1066593	PRJNA1066593:CB	1	1	0.0000000000	0.0000000000	0.0000000000	0	0	EQUAL
