GENE_CLEAN	PRIMARY_CONSENSUS	PRIMARY_SUM_UNIT_SCORE	PRIMARY_I_UNITS	PRIMARY_E_UNITS	PRIMARY_P	PRIMARY_Q	STRICT_CONSENSUS	STRICT_SUM_UNIT_SCORE	STRICT_I_UNITS	STRICT_E_UNITS	STRICT_P	STRICT_Q	ROBUSTNESS_CLASS
ARR-3	LIMITED_OR_BALANCED	5	4	0	0.125	0.3184931506849315	LIMITED_OR_BALANCED	5	4	0	0.125	0.3704545454545455	NO_REPRODUCIBLE_DIRECTION
ARR-8	LIMITED_OR_BALANCED	4	4	0	0.125	0.3184931506849315	LIMITED_OR_BALANCED	4	4	0	0.125	0.3704545454545455	NO_REPRODUCIBLE_DIRECTION
CmlA7	LIMITED_OR_BALANCED	3	3	0	0.25	0.5406976744186046	LIMITED_OR_BALANCED	4	3	0	0.25	0.5506756756756757	NO_REPRODUCIBLE_DIRECTION
FloR	LIMITED_OR_BALANCED	2	2	0	0.5	0.9029126213592233	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
OqxA	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
TOprJ3	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aac(3)-IIa	LIMITED_OR_BALANCED	4	4	0	0.125	0.3184931506849315	LIMITED_OR_BALANCED	3	3	0	0.25	0.5506756756756757	NO_REPRODUCIBLE_DIRECTION
aac(3)-IId	LIMITED_OR_BALANCED	0	0	0	1.0	1.0	LIMITED_OR_BALANCED	0	0	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aac(3)-Ia	LIMITED_OR_BALANCED	4	4	0	0.125	0.3184931506849315	LIMITED_OR_BALANCED	4	4	0	0.125	0.3704545454545455	NO_REPRODUCIBLE_DIRECTION
aac(6')-31	LIMITED_OR_BALANCED	2	2	0	0.5	0.9029126213592233	LIMITED_OR_BALANCED	2	2	0	0.5	0.8858695652173914	NO_REPRODUCIBLE_DIRECTION
aac(6')-IIa	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aac(6')-IIc	LIMITED_OR_BALANCED	0	0	0	1.0	1.0	LIMITED_OR_BALANCED	0	0	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aac(6')-Ib-cr	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aac(6')-Ii	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aac(6')-Im	LIMITED_OR_BALANCED	2	2	0	0.5	0.9029126213592233	LIMITED_OR_BALANCED	2	2	0	0.5	0.8858695652173914	NO_REPRODUCIBLE_DIRECTION
aac(6')-aph(2'')	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aadA1	LIMITED_OR_BALANCED	0	2	2	1.0	1.0	I_FAVOURING_2PLUS_NO_E	3	3	0	0.25	0.5506756756756757	I_FAVOURING_STRICT_ONLY
aadA10	I_FAVOURING_2PLUS_NO_E	4	4	0	0.125	0.3184931506849315	LIMITED_OR_BALANCED	3	3	0	0.25	0.5506756756756757	I_FAVOURING_PRIMARY_ONLY
aadA11	I_FAVOURING_2PLUS_NO_E	6	6	0	0.03125	0.2152777777777778	LIMITED_OR_BALANCED	3	3	0	0.25	0.5506756756756757	I_FAVOURING_PRIMARY_ONLY
aadA13	I_FAVOURING_2PLUS_NO_E	6	6	0	0.03125	0.2152777777777778	I_FAVOURING_2PLUS_NO_E	6	6	0	0.03125	0.2546875	I_FAVOURING_BOTH_THRESHOLDS
aadA16	LIMITED_OR_BALANCED	0	0	0	1.0	1.0	LIMITED_OR_BALANCED	0	0	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aadA17	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NA	NA	NA	NA	NA	NA	NO_REPRODUCIBLE_DIRECTION
aadA2	MIXED_DIRECTION	5	4	1	0.25	0.5406976744186046	LIMITED_OR_BALANCED	2	1	0	1.0	1.0	NO_REPRODUCIBLE_DIRECTION
aadA5	I_FAVOURING_2PLUS_NO_E	10	8	0	0.0078125	0.12109375	I_FAVOURING_2PLUS_NO_E	7	6	0	0.03125	0.2546875	I_FAVOURING_BOTH_THRESHOLDS
aadA6	I_FAVOURING_2PLUS_NO_E	7	5	0	0.0625	0.26420454545454547	I_FAVOURING_2PLUS_NO_E	6	5	0	0.0625	0.2546875	I_FAVOURING_BOTH_THRESHOLDS
aadA7	LIMITED_OR_BALANCED	3	3	0	0.25	0.5406976744186046	NA	NA	NA	NA	NA	NA	NO_REPRODUCIBLE_DIRECTION
aadA8b	LIMITED_OR_BALANCED	1	1	0	1.0	1.0	NA	NA	NA	NA	NA	NA	NO_REPRODUCIBLE_DIRECTION
