GENE_CLEAN	BIOPROJECT	MATCHED_UNIT_ID	E_PRE_FPM	E_POST_FPM	I_PRE_FPM	I_POST_FPM	PRE_I_MINUS_E_FPM	POST_I_MINUS_E_FPM	DELTA_I_MINUS_E_GAP	E_POST_MINUS_PRE	I_POST_MINUS_PRE
msr(E)	PRJNA1346432	PRJNA1346432:CB	0.0000000000	0.0000000000	1.0331958494	180.4284802957	1.0331958494	180.4284802957	179.3952844463	0.0000000000	179.3952844463
msr(E)	PRJNA1346432	PRJNA1346432:GV	0.0000000000	0.0000000000	232.6648954547	2.7027399137	232.6648954547	2.7027399137	-229.9621555410	0.0000000000	-229.9621555410
msr(E)	PRJNA1346432	PRJNA1346432:MZ	0.0000000000	8.1650302616	8.5428997242	292.1764114818	8.5428997242	284.0113812202	275.4684814960	8.1650302616	283.6335117576
msr(E)	PRJNA1346432	PRJNA1346432:NO	3.5960079316	0.0000000000	149.8414648923	2.7735892681	146.2454569607	2.7735892681	-143.4718676926	-3.5960079316	-147.0678756242
msr(E)	PRJNA1346432	PRJNA1346432:VB	0.0000000000	73.6606008766	0.8891872807	137.9393293109	0.8891872807	64.2787284343	63.3895411536	73.6606008766	137.0501420302
msr(E)	PRJNA881852	PRJNA881852:CB:C	0.0000000000	0.9321106734	3.1577071706	2.2908561291	3.1577071706	1.3587454557	-1.7989617149	0.9321106734	-0.8668510415
msr(E)	PRJNA881852	PRJNA881852:CB:D	0.0000000000	0.6143859844	5.7847342886	2.2373556023	5.7847342886	1.6229696179	-4.1617646707	0.6143859844	-3.5473786863
msr(E)	PRJNA881852	PRJNA881852:VB:A	1.9712384789	1.7666413372	2.4169499997	2.8784742570	0.4457115208	1.1118329198	0.6661213990	-0.2045971417	0.4615242573
msr(E)	PRJNA881852	PRJNA881852:VB:B	0.0000000000	0.0000000000	1.1546921951	1.5503486045	1.1546921951	1.5503486045	0.3956564094	0.0000000000	0.3956564094
mph(E)	PRJNA1346432	PRJNA1346432:CB	0.0000000000	0.0000000000	0.8498869084	130.6071763343	0.8498869084	130.6071763343	129.7572894259	0.0000000000	129.7572894259
mph(E)	PRJNA1346432	PRJNA1346432:GV	0.0000000000	0.0000000000	160.9758118823	2.0191057002	160.9758118823	2.0191057002	-158.9567061821	0.0000000000	-158.9567061821
mph(E)	PRJNA1346432	PRJNA1346432:MZ	0.0000000000	6.1699549941	6.8451564386	209.4787329357	6.8451564386	203.3087779416	196.4636215030	6.1699549941	202.6335764971
mph(E)	PRJNA1346432	PRJNA1346432:NO	2.6916227033	0.0000000000	104.6615492792	2.3725884101	101.9699265759	2.3725884101	-99.5973381658	-2.6916227033	-102.2889608691
mph(E)	PRJNA1346432	PRJNA1346432:VB	0.0000000000	49.9902878851	0.5877678635	100.7945689152	0.5877678635	50.8042810301	50.2165131666	49.9902878851	100.2068010517
mph(E)	PRJNA881852	PRJNA881852:CB:C	0.0000000000	0.0000000000	2.2888078820	1.4986909256	2.2888078820	1.4986909256	-0.7901169564	0.0000000000	-0.7901169564
mph(E)	PRJNA881852	PRJNA881852:CB:D	0.0000000000	0.0000000000	3.1233166121	1.3051241013	3.1233166121	1.3051241013	-1.8181925108	0.0000000000	-1.8181925108
mph(E)	PRJNA881852	PRJNA881852:VB:A	1.1517348416	1.1194558969	1.9824421346	1.4275360136	0.8307072930	0.3080801167	-0.5226271763	-0.0322789447	-0.5549061210
mph(E)	PRJNA881852	PRJNA881852:VB:B	0.0000000000	0.0000000000	1.0801959244	0.9378652052	1.0801959244	0.9378652052	-0.1423307192	0.0000000000	-0.1423307192
tet(39)	PRJNA1346432	PRJNA1346432:CB	0.0000000000	0.0000000000	0.0000000000	54.8787943131	0.0000000000	54.8787943131	54.8787943131	0.0000000000	54.8787943131
tet(39)	PRJNA1346432	PRJNA1346432:GV	0.0000000000	0.0000000000	39.1683260070	0.6041418631	39.1683260070	0.6041418631	-38.5641841439	0.0000000000	-38.5641841439
tet(39)	PRJNA1346432	PRJNA1346432:MZ	0.0000000000	2.2906419738	0.9391771367	72.8621679776	0.9391771367	70.5715260038	69.6323488671	2.2906419738	71.9229908409
tet(39)	PRJNA1346432	PRJNA1346432:NO	0.0000000000	0.0000000000	53.6258121011	0.3341673817	53.6258121011	0.3341673817	-53.2916447194	0.0000000000	-53.2916447194
tet(39)	PRJNA1346432	PRJNA1346432:VB	0.0000000000	5.8292561845	0.0000000000	20.3884985567	0.0000000000	14.5592423722	14.5592423722	5.8292561845	20.3884985567
tet(39)	PRJNA881852	PRJNA881852:CB:C	0.0000000000	0.0000000000	0.6993579640	0.0000000000	0.6993579640	0.0000000000	-0.6993579640	0.0000000000	-0.6993579640
tet(39)	PRJNA881852	PRJNA881852:CB:D	0.0000000000	0.0000000000	1.0997593705	0.0000000000	1.0997593705	0.0000000000	-1.0997593705	0.0000000000	-1.0997593705
tet(39)	PRJNA881852	PRJNA881852:VB:A	0.0000000000	0.0000000000	0.9233292134	0.4446423649	0.9233292134	0.4446423649	-0.4786868485	0.0000000000	-0.4786868485
