GENE_CLEAN	PROJECTS_DETECTED	PROJECTS_I_ENRICHED	PROJECTS_E_ENRICHED	PROJECTS_BALANCED	CONSENSUS_CLASS	TOTAL_BOTH_PRESENT	TOTAL_E_ONLY	TOTAL_I_ONLY	TOTAL_DISCORDANT	I_ONLY_MINUS_E_ONLY	EXACT_BINOMIAL_P	P1066593_DIRECTION	P1066593_E_ONLY	P1066593_I_ONLY	P1346432_DIRECTION	P1346432_E_ONLY	P1346432_I_ONLY	P881852_DIRECTION	P881852_E_ONLY	P881852_I_ONLY	BH_FDR_Q
ARR-3	1	1	0	0	LIMITED_SUPPORT	1	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
ARR-8	1	1	0	0	LIMITED_SUPPORT	2	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
CmlA7	1	1	0	0	LIMITED_SUPPORT	2	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
FloR	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
OqxA	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
TOprJ3	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
aac(3)-IIa	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
aac(3)-IId	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
aac(3)-Ia	1	1	0	0	LIMITED_SUPPORT	1	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
aac(6')-31	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
aac(6')-IIa	1	1	0	0	LIMITED_SUPPORT	1	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
aac(6')-IIc	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
aac(6')-Ib-cr	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	ABSENT	0	0	I_ENRICHED	0	1	1.000000
aac(6')-Ii	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
aac(6')-Im	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
aac(6')-aph(2'')	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
