RUN	BIOPROJECT	SITE	DNA_FRACTION	TREATMENT_STAGE	MATCHED_UNIT_ID	FRACTION_PAIR_ID	ARG_RICHNESS	SEQUENCED_BASES	SIZE_MB	N_CONTIGS	ASSEMBLED_BP	LOG10_ASSEMBLED_BP	LOG10_N_CONTIGS	RICHNESS_RESIDUAL_ASSEMBLED_BP	RICHNESS_RESIDUAL_CONTIGS
SRR27639468	PRJNA1066593	CB	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:CB	PRJNA1066593:CB	3.0	7465017900.0	2508.0	146314.0	234029627.0	8.36927084043639	5.16528588341752	-0.8031325405388259	-0.3432377552358332
SRR27639469	PRJNA1066593	GV	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:GV	PRJNA1066593:GV	8.0	8530870800.0	2784.0	151300.0	219864286.0	8.342154689784683	5.1798389280231865	4.72888103982018	4.413607913249933
SRR27639470	PRJNA1066593	VB	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:VB	PRJNA1066593:VB	11.0	9305169000.0	3130.0	292714.0	387043635.0	8.587759929803017	5.466443494478013	2.9101541941325877	2.6249782035519758
SRR27639475	PRJNA1066593	CB	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:CB	PRJNA1066593:CB	1.0	7225939200.0	2433.0	113632.0	184800147.0	8.26670231234547	5.055500650621521	-0.7907580496791127	-0.5089305285368226
SRR27639476	PRJNA1066593	GV	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:GV	PRJNA1066593:GV	2.0	13804750500.0	4611.0	137510.0	209474215.0	8.321130571586764	5.138334282071019	-0.8586298668703307	-0.8929265807551872
SRR27639477	PRJNA1066593	VB	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:VB	PRJNA1066593:VB	1.0	10137844200.0	3360.0	219716.0	309563129.0	8.49074922776853	5.341861683951449	-5.186514776864584	-5.293491252274038
SRR35815510	PRJNA1346432	VB	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:VB	PRJNA1346432:VB:PRE_TREATMENT	0.0	13911742200.0	4652.0	78642.0	140788864.0	8.148568304702298	4.895654549812875	7.7867402327515265	14.076225256417672
SRR35815511	PRJNA1346432	NO	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:NO	PRJNA1346432:NO:PRE_TREATMENT	8.0	14442252000.0	4804.0	387472.0	436523732.0	8.640007859488264	5.5882403244298064	-28.16231601306606	-34.28168324385962
SRR35815512	PRJNA1346432	MZ	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:MZ	PRJNA1346432:MZ:PRE_TREATMENT	0.0	17512337100.0	5876.0	201387.0	327489051.0	8.51519678472545	5.304031432401877	-25.000558902894454	-19.15470125995381
SRR35815513	PRJNA1346432	GV	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:GV	PRJNA1346432:GV:PRE_TREATMENT	4.0	10616222100.0	3487.0	352456.0	368935246.0	8.566950147262874	5.547104908136158	-25.628821766387432	-34.93436351457342
SRR35815514	PRJNA1346432	VB	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:VB	PRJNA1346432:VB:POST_TREATMENT	72.0	14181647400.0	4705.0	312854.0	366121565.0	8.563625310101623	5.49534171202833	42.668515828816226	37.27777247903748
SRR35815515	PRJNA1346432	NO	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:NO	PRJNA1346432:NO:POST_TREATMENT	0.0	22469867700.0	7772.0	113557.0	222421562.0	8.347176886343963	5.055213910618035	-9.974670383195189	1.092372301029343
SRR35815516	PRJNA1346432	MZ	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:MZ	PRJNA1346432:MZ:POST_TREATMENT	34.0	8550971400.0	2817.0	301236.0	334886613.0	8.52489778708471	5.478906872133856	8.131888019263556	0.6151277019365011
SRR35815517	PRJNA1346432	CB	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:CB	PRJNA1346432:CB:PRE_TREATMENT	1.0	22113671700.0	7401.0	238713.0	373301599.0	8.572059850187191	5.377876070764315	-29.085778515255583	-24.16367447972317
SRR35815518	PRJNA1346432	VB	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:VB	PRJNA1346432:VB:PRE_TREATMENT	8.0	21274364700.0	7261.0	379164.0	524534877.0	8.719774370289475	5.578827096219973	-35.2957728860315	-33.51569890865517
SRR35815519	PRJNA1346432	NO	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:NO	PRJNA1346432:NO:PRE_TREATMENT	79.0	14112714600.0	4858.0	443958.0	565977160.0	8.752798905594437	5.647341886260984	32.75086866840775	31.909034590697047
SRR35815520	PRJNA1346432	MZ	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:MZ	PRJNA1346432:MZ:PRE_TREATMENT	60.0	17788726500.0	6136.0	481939.0	657804322.0	8.818096722619705	5.682992072180974	7.911335799665721	10.008065512595579
SRR35815521	PRJNA1346432	GV	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:GV	PRJNA1346432:GV:PRE_TREATMENT	94.0	16641642600.0	5708.0	495890.0	591203748.0	8.77173717865226	5.695385350500007	46.05723367360258	42.99958501657488
SRR35815522	PRJNA1346432	VB	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:VB	PRJNA1346432:VB:POST_TREATMENT	127.0	18238722600.0	6229.0	563159.0	690108103.0	8.838917126764827	5.7506310290852	73.04938328908054	71.50406834145667
SRR35815523	PRJNA1346432	NO	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:NO	PRJNA1346432:NO:POST_TREATMENT	28.0	29330961000.0	9909.0	725662.0	1029480985.0	9.01261832940394	5.860734381421892	-41.48457984108995	-36.455391820711895
SRR35815524	PRJNA1346432	MZ	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:MZ	PRJNA1346432:MZ:POST_TREATMENT	78.0	14445054300.0	5010.0	457989.0	562979614.0	8.750492668940861	5.6608550472251125	31.957113614336663	29.80942568003593
SRR35815525	PRJNA1346432	CB	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:CB	PRJNA1346432:CB:PRE_TREATMENT	12.0	19592851800.0	6649.0	486838.0	700730235.0	8.845550856769115	5.687384469611889	-42.54386601337956	-38.34935784430962
SRR35815526	PRJNA1346432	GV	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:GV	PRJNA1346432:GV:POST_TREATMENT	19.0	20423917200.0	6830.0	548008.0	691371305.0	8.839711350417886	5.738786898503521	-35.02164351301576	-35.5321370614671
SRR35815527	PRJNA1346432	CB	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:CB	PRJNA1346432:CB:POST_TREATMENT	94.0	19078268100.0	6607.0	526638.0	647541150.0	8.81126737221287	5.72151219277783	42.52207928221492	40.87356071682785
SRR35815528	PRJNA1346432	GV	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:GV	PRJNA1346432:GV:POST_TREATMENT	0.0	15831469800.0	5363.0	83454.0	131486596.0	8.118881482255876	4.921447157507716	10.441609619538326	11.977398688324513
SRR35815529	PRJNA1346432	CB	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:CB	PRJNA1346432:CB:POST_TREATMENT	2.0	15383628900.0	5245.0	340894.0	403206434.0	8.605527453567435	5.532619357374908	-31.078760193361745	-35.75562815167888
SRR21621033	PRJNA881852	VB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:A	PRJNA881852:VB:A:POST_DISINFECTION	13.0	18151788900.0	5876.0	307498.0	446296034.0	8.64962302750921	5.487842295422692	-2.14719881427402	-2.049188091468608
SRR21621034	PRJNA881852	VB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:A	PRJNA881852:VB:A:PRE_DISINFECTION	5.0	14229452700.0	4621.0	224525.0	337781305.0	8.528635609237305	5.351264705061223	-2.8706065784959947	-4.023422825542127
SRR21621035	PRJNA881852	CB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:POST_DISINFECTION	19.0	13904948700.0	4566.0	276338.0	437070619.0	8.640551613089874	5.441440610054263	4.39838670754375	5.998041349565739
SRR21621036	PRJNA881852	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:PRE_DISINFECTION	25.0	14687282700.0	4797.0	312899.0	466047880.0	8.668430536757826	5.49540417517823	8.721654015817421	9.617183878812625
SRR21621037	PRJNA881852	CB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:C	PRJNA881852:CB:C:POST_DISINFECTION	18.0	15027853800.0	4912.0	288010.0	441573308.0	8.645002813501343	5.459407567166948	3.130676471086076	4.205344203441911
SRR21621038	PRJNA881852	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:C	PRJNA881852:CB:C:PRE_DISINFECTION	20.0	15338581800.0	5006.0	320379.0	479801986.0	8.681062041270527	5.505664041485185	2.961952643756149	4.164521433517763
SRR21621039	PRJNA881852	VB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:B	PRJNA881852:VB:B:POST_DISINFECTION	15.0	16999753800.0	5500.0	415868.0	545505475.0	8.73679911377011	5.618955503778992	-5.390263270827404	-5.833866344515769
SRR21621040	PRJNA881852	VB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:B	PRJNA881852:VB:B:PRE_DISINFECTION	16.0	17293722900.0	5609.0	396771.0	567615457.0	8.754054213421105	5.598539922050106	-5.428043280859811	-3.9331365619795804
SRR21621041	PRJNA881852	CB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:POST_DISINFECTION	1.0	13980167100.0	4581.0	151395.0	248214096.0	8.39482644130931	5.180111532308922	1.177129015237938	-0.47219248977185657
SRR21621042	PRJNA881852	CB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:D	PRJNA881852:CB:D:PRE_DISINFECTION	0.0	14754059100.0	4809.0	120935.0	228979026.0	8.359795703695223	5.082552008942503	2.283995968654267	2.8321065222830555
