BIOPROJECT	FRACTION_PAIR_ID	MATCHED_UNIT_ID	SITE	TREATMENT_STAGE	E_ARG_RICHNESS	I_ARG_RICHNESS	E_MINUS_I_RICHNESS	E_ASSEMBLED_BP	I_ASSEMBLED_BP	LOG10_E_MINUS_I_ASSEMBLED_BP	E_N_CONTIGS	I_N_CONTIGS	LOG10_E_MINUS_I_N_CONTIGS	E_MINUS_I_BP_ADJUSTED_RICHNESS	E_MINUS_I_CONTIG_ADJUSTED_RICHNESS
PRJNA1066593	PRJNA1066593:CB	PRJNA1066593:CB	CB	STAGE_NOT_ENCODED	1.0	3.0	-2.0	184800147.0	234029627.0	-0.10256852809091832	113632.0	146314.0	-0.10978523279599894	0.012374490859713205	-0.16569277330098942
PRJNA1066593	PRJNA1066593:GV	PRJNA1066593:GV	GV	STAGE_NOT_ENCODED	2.0	8.0	-6.0	209474215.0	219864286.0	-0.021024118197919606	137510.0	151300.0	-0.041504645952167074	-5.587510906690511	-5.3065344940051205
PRJNA1066593	PRJNA1066593:VB	PRJNA1066593:VB	VB	STAGE_NOT_ENCODED	1.0	11.0	-10.0	309563129.0	387043635.0	-0.09701070203448658	219716.0	292714.0	-0.12458181052656414	-8.096668970997172	-7.918469455826013
PRJNA1346432	PRJNA1346432:CB:POST_TREATMENT	PRJNA1346432:CB	CB	POST_TREATMENT	2.0	94.0	-92.0	403206434.0	647541150.0	-0.20573991864543473	340894.0	526638.0	-0.188892835402922	-73.60083947557666	-76.62918886850673
PRJNA1346432	PRJNA1346432:CB:PRE_TREATMENT	PRJNA1346432:CB	CB	PRE_TREATMENT	1.0	12.0	-11.0	373301599.0	700730235.0	-0.27349100658192427	238713.0	486838.0	-0.30950839884757375	13.458087498123973	14.185683364586453
PRJNA1346432	PRJNA1346432:GV:POST_TREATMENT	PRJNA1346432:GV	GV	POST_TREATMENT	0.0	19.0	-19.0	131486596.0	691371305.0	-0.72082986816201	83454.0	548008.0	-0.8173397409958048	45.46325313255409	47.50953574979161
PRJNA1346432	PRJNA1346432:GV:PRE_TREATMENT	PRJNA1346432:GV	GV	PRE_TREATMENT	4.0	94.0	-90.0	368935246.0	591203748.0	-0.2047870313893867	352456.0	495890.0	-0.1482804423638484	-71.68605543999001	-77.9339485311483
PRJNA1346432	PRJNA1346432:MZ:POST_TREATMENT	PRJNA1346432:MZ	MZ	POST_TREATMENT	34.0	78.0	-44.0	334886613.0	562979614.0	-0.22559488185615173	301236.0	457989.0	-0.18194817509125638	-23.825225595073107	-29.194297978099428
PRJNA1346432	PRJNA1346432:MZ:PRE_TREATMENT	PRJNA1346432:MZ	MZ	PRE_TREATMENT	0.0	60.0	-60.0	327489051.0	657804322.0	-0.30289993789425473	201387.0	481939.0	-0.37896063977909655	-32.911894702560176	-29.16276677254939
PRJNA1346432	PRJNA1346432:NO:POST_TREATMENT	PRJNA1346432:NO	NO	POST_TREATMENT	0.0	28.0	-28.0	222421562.0	1029480985.0	-0.6654414430599775	113557.0	725662.0	-0.8055204708038568	31.509909457894764	37.54776412174124
