BIOPROJECT	MATCHED_UNIT_ID	CONTRAST	LEVEL_A	LEVEL_B	RICHNESS_A	RICHNESS_B	DIFFERENCE_A_MINUS_B
PRJNA1346432	PRJNA1346432:CB	E_POST_MINUS_PRE	E_POST	E_PRE	2	1	1
PRJNA1346432	PRJNA1346432:CB	I_POST_MINUS_PRE	I_POST	I_PRE	94	12	82
PRJNA1346432	PRJNA1346432:CB	PRE_E_MINUS_I	E_PRE	I_PRE	1	12	-11
PRJNA1346432	PRJNA1346432:CB	POST_E_MINUS_I	E_POST	I_POST	2	94	-92
PRJNA1346432	PRJNA1346432:CB	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	48.0	6.5	41.5
PRJNA1346432	PRJNA1346432:CB	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	1.5	53.0	-51.5
PRJNA1346432	PRJNA1346432:CB	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	1	82	-81
PRJNA1346432	PRJNA1346432:GV	E_POST_MINUS_PRE	E_POST	E_PRE	0	4	-4
PRJNA1346432	PRJNA1346432:GV	I_POST_MINUS_PRE	I_POST	I_PRE	19	94	-75
PRJNA1346432	PRJNA1346432:GV	PRE_E_MINUS_I	E_PRE	I_PRE	4	94	-90
PRJNA1346432	PRJNA1346432:GV	POST_E_MINUS_I	E_POST	I_POST	0	19	-19
PRJNA1346432	PRJNA1346432:GV	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	9.5	49.0	-39.5
PRJNA1346432	PRJNA1346432:GV	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	2.0	56.5	-54.5
PRJNA1346432	PRJNA1346432:GV	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	-4	-75	71
PRJNA1346432	PRJNA1346432:MZ	E_POST_MINUS_PRE	E_POST	E_PRE	34	0	34
PRJNA1346432	PRJNA1346432:MZ	I_POST_MINUS_PRE	I_POST	I_PRE	78	60	18
PRJNA1346432	PRJNA1346432:MZ	PRE_E_MINUS_I	E_PRE	I_PRE	0	60	-60
PRJNA1346432	PRJNA1346432:MZ	POST_E_MINUS_I	E_POST	I_POST	34	78	-44
PRJNA1346432	PRJNA1346432:MZ	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	56.0	30.0	26.0
PRJNA1346432	PRJNA1346432:MZ	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	17.0	69.0	-52.0
PRJNA1346432	PRJNA1346432:MZ	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	34	18	16
PRJNA1346432	PRJNA1346432:NO	E_POST_MINUS_PRE	E_POST	E_PRE	0	8	-8
PRJNA1346432	PRJNA1346432:NO	I_POST_MINUS_PRE	I_POST	I_PRE	28	79	-51
PRJNA1346432	PRJNA1346432:NO	PRE_E_MINUS_I	E_PRE	I_PRE	8	79	-71
PRJNA1346432	PRJNA1346432:NO	POST_E_MINUS_I	E_POST	I_POST	0	28	-28
PRJNA1346432	PRJNA1346432:NO	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	14.0	43.5	-29.5
PRJNA1346432	PRJNA1346432:NO	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	4.0	53.5	-49.5
PRJNA1346432	PRJNA1346432:NO	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	-8	-51	43
PRJNA1346432	PRJNA1346432:VB	E_POST_MINUS_PRE	E_POST	E_PRE	72	0	72
PRJNA1346432	PRJNA1346432:VB	I_POST_MINUS_PRE	I_POST	I_PRE	127	8	119
PRJNA1346432	PRJNA1346432:VB	PRE_E_MINUS_I	E_PRE	I_PRE	0	8	-8
PRJNA1346432	PRJNA1346432:VB	POST_E_MINUS_I	E_POST	I_POST	72	127	-55
PRJNA1346432	PRJNA1346432:VB	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	99.5	4.0	95.5
