BIOPROJECT	FRACTION_PAIR_ID	MATCHED_UNIT_ID	SITE	TREATMENT_STAGE	SHARED_ARG_LABELS	E_ONLY_ARG_LABELS	I_ONLY_ARG_LABELS	E_RICHNESS	I_RICHNESS	BETA_JACCARD	BETA_TURNOVER_JTU	BETA_NESTEDNESS_JNE	NESTEDNESS_SHARE_OF_DISSIMILARITY	E_ARG_SET_CONTAINED_IN_I	I_ARG_SET_CONTAINED_IN_E	LOG10_I_OVER_E_ASSEMBLED_BP
PRJNA1066593	PRJNA1066593:CB	PRJNA1066593:CB	CB	STAGE_NOT_ENCODED	1	0	2	1	3	0.666667	0.000000	0.666667	1.000000	1.000000	0.333333	0.102569
PRJNA1066593	PRJNA1066593:GV	PRJNA1066593:GV	GV	STAGE_NOT_ENCODED	2	0	6	2	8	0.750000	0.000000	0.750000	1.000000	1.000000	0.250000	0.021024
PRJNA1066593	PRJNA1066593:VB	PRJNA1066593:VB	VB	STAGE_NOT_ENCODED	1	0	10	1	11	0.909091	0.000000	0.909091	1.000000	1.000000	0.090909	0.097011
PRJNA1346432	PRJNA1346432:CB:POST_TREATMENT	PRJNA1346432:CB	CB	POST_TREATMENT	2	0	92	2	94	0.978723	0.000000	0.978723	1.000000	1.000000	0.021277	0.205740
PRJNA1346432	PRJNA1346432:CB:PRE_TREATMENT	PRJNA1346432:CB	CB	PRE_TREATMENT	0	1	12	1	12	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.273491
PRJNA1346432	PRJNA1346432:GV:POST_TREATMENT	PRJNA1346432:GV	GV	POST_TREATMENT	0	0	19	0	19	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.720830
PRJNA1346432	PRJNA1346432:GV:PRE_TREATMENT	PRJNA1346432:GV	GV	PRE_TREATMENT	4	0	90	4	94	0.957447	0.000000	0.957447	1.000000	1.000000	0.042553	0.204787
PRJNA1346432	PRJNA1346432:MZ:POST_TREATMENT	PRJNA1346432:MZ	MZ	POST_TREATMENT	31	3	47	34	78	0.617284	0.162162	0.455122	0.737297	0.911765	0.397436	0.225595
PRJNA1346432	PRJNA1346432:MZ:PRE_TREATMENT	PRJNA1346432:MZ	MZ	PRE_TREATMENT	0	0	60	0	60	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.302900
PRJNA1346432	PRJNA1346432:NO:POST_TREATMENT	PRJNA1346432:NO	NO	POST_TREATMENT	0	0	28	0	28	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.665441
PRJNA1346432	PRJNA1346432:NO:PRE_TREATMENT	PRJNA1346432:NO	NO	PRE_TREATMENT	8	0	71	8	79	0.898734	0.000000	0.898734	1.000000	1.000000	0.101266	0.112791
PRJNA1346432	PRJNA1346432:VB:POST_TREATMENT	PRJNA1346432:VB	VB	POST_TREATMENT	59	13	68	72	127	0.578571	0.305882	0.272689	0.471314	0.819444	0.464567	0.275292
PRJNA1346432	PRJNA1346432:VB:PRE_TREATMENT	PRJNA1346432:VB	VB	PRE_TREATMENT	0	0	8	0	8	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.571206
PRJNA881852	PRJNA881852:CB:C:POST_DISINFECTION	PRJNA881852:CB:C	CB	POST_DISINFECTION	4	0	14	4	18	0.777778	0.000000	0.777778	1.000000	1.000000	0.222222	0.113917
PRJNA881852	PRJNA881852:CB:C:PRE_DISINFECTION	PRJNA881852:CB:C	CB	PRE_DISINFECTION	0	0	20	0	20	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.312636
PRJNA881852	PRJNA881852:CB:D:POST_DISINFECTION	PRJNA881852:CB:D	CB	POST_DISINFECTION	1	0	18	1	19	0.947368	0.000000	0.947368	1.000000	1.000000	0.052632	0.245725
PRJNA881852	PRJNA881852:CB:D:PRE_DISINFECTION	PRJNA881852:CB:D	CB	PRE_DISINFECTION	0	0	25	0	25	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.308635
PRJNA881852	PRJNA881852:VB:A:POST_DISINFECTION	PRJNA881852:VB:A	VB	POST_DISINFECTION	10	3	10	13	20	0.565217	0.375000	0.190217	0.336538	0.769231	0.500000	0.052470
PRJNA881852	PRJNA881852:VB:A:PRE_DISINFECTION	PRJNA881852:VB:A	VB	PRE_DISINFECTION	3	2	16	5	19	0.857143	0.571429	0.285714	0.333333	0.600000	0.157895	0.135453
PRJNA881852	PRJNA881852:VB:B:POST_DISINFECTION	PRJNA881852:VB:B	VB	POST_DISINFECTION	1	1	14	2	15	0.937500	0.666667	0.270833	0.288889	0.500000	0.066667	0.203241
PRJNA881852	PRJNA881852:VB:B:PRE_DISINFECTION	PRJNA881852:VB:B	VB	PRE_DISINFECTION	0	0	16	0	16	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.304774
