BIOPROJECT	MATCHED_UNIT_ID	N_E	N_I	E_MEAN_TOTAL_FPM	I_MEAN_TOTAL_FPM	LOG2_I_OVER_E_TOTAL_FPM
PRJNA1066593	PRJNA1066593:CB	1	1	3.1964970327	6.2759336728	0.9411871750
PRJNA1066593	PRJNA1066593:GV	1	1	1.1171776014	87.4215656217	6.1104070211
PRJNA1066593	PRJNA1066593:VB	1	1	1.0355766686	12.2414753426	3.3853292886
PRJNA1346432	PRJNA1346432:CB	2	2	1.7990448448	373.7548806129	7.5835207672
PRJNA1346432	PRJNA1346432:GV	2	2	3.2612997216	459.9641901918	7.0753901165
PRJNA1346432	PRJNA1346432:MZ	2	2	39.7352490785	578.2572800192	3.8581475664
PRJNA1346432	PRJNA1346432:NO	2	2	7.3427467346	416.5810969705	5.7974167736
PRJNA1346432	PRJNA1346432:VB	2	2	462.1341564891	658.8894401228	0.5115845837
PRJNA881852	PRJNA881852:CB:C	2	2	1.7199661235	15.1802018949	3.0350723884
PRJNA881852	PRJNA881852:CB:D	2	2	0.5119883203	19.2355623288	4.8713486668
PRJNA881852	PRJNA881852:VB:A	2	2	6.7737922823	19.8159267563	1.5278614286
PRJNA881852	PRJNA881852:VB:B	2	2	0.2438227363	9.9441746586	4.6786884015
