SAMPLE	INPUT_FRAGMENTS	FILTERED_TEMPLATE_HITS	UNIQUE_POSITIVE_ARG_LABELS	SUM_FILTERED_TEMPLATE_FRAGMENT_COUNT	TOTAL_FPM
SRR21621033	57170631	11	11	539	9.4279176313
SRR21621034	45149281	3	3	186	4.1196669333
SRR21621035	42907797	20	20	555	12.9347120758
SRR21621036	45464491	29	29	1161	25.5364125819
SRR21621037	46707429	17	17	643	13.7665466451
SRR21621038	47186136	21	21	783	16.5938571448
SRR21621039	52246314	13	13	465	8.9001493962
SRR21621040	53693963	17	17	590	10.9881999211
SRR21621041	43946315	2	2	45	1.0239766406
SRR21621042	46654419	0	0	0	0.0000000000
SRR21621043	45059027	4	4	155	3.4399322471
SRR21621044	45433354	0	0	0	0.0000000000
SRR21621045	51266753	1	1	25	0.4876454727
SRR21621046	37421291	0	0	0	0.0000000000
SRR21621047	42730971	22	21	764	17.8793035150
SRR21621048	36823269	22	22	801	21.7525499977
SRR27639468	23104132	6	6	145	6.2759336728
SRR27639469	25966133	6	6	2270	87.4215656217
SRR27639470	29244841	14	14	358	12.2414753426
SRR27639475	20334760	2	2	65	3.1964970327
SRR27639476	41175190	2	2	46	1.1171776014
SRR27639477	29935012	2	2	31	1.0355766686
SRR35815510	43790432	0	0	0	0.0000000000
SRR35815511	46440387	9	9	682	14.6854934693
SRR35815512	53406191	0	0	0	0.0000000000
SRR35815513	33728884	5	5	220	6.5225994433
SRR35815514	45288797	105	98	41859	924.2683129782
SRR35815515	69528231	0	0	0	0.0000000000
SRR35815516	27066648	37	35	2151	79.4704981570
SRR35815517	66522446	1	1	20	0.3006504000
SRR35815518	66352726	10	10	334	5.0337042671
SRR35815519	44400260	127	103	36138	813.9141527550
SRR35815520	55367617	82	73	7032	127.0056466400
SRR35815521	51597814	153	131	46276	896.8597002966
SRR35815522	58366240	213	180	76620	1312.7451759784
SRR35815523	89775369	37	36	1728	19.2480411860
SRR35815524	45345892	133	114	46684	1029.5089133984
SRR35815525	60007984	18	18	742	12.3650212945
SRR35815526	62899134	28	28	1451	23.0686800871
SRR35815527	59713411	135	114	43898	735.1447399312
SRR35815528	48111256	0	0	0	0.0000000000
SRR35815529	48219235	6	6	159	3.2974392895
