RUN	BIOPROJECT	SITE	DNA_FRACTION	TREATMENT_STAGE	MATCHED_UNIT_ID	ARG_RICHNESS
SRR21621033	PRJNA881852	VB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:A	13
SRR21621034	PRJNA881852	VB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:A	5
SRR21621035	PRJNA881852	CB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:D	19
SRR21621036	PRJNA881852	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:D	25
SRR21621037	PRJNA881852	CB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:C	18
SRR21621038	PRJNA881852	CB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:C	20
SRR21621039	PRJNA881852	VB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:B	15
SRR21621040	PRJNA881852	VB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:B	16
SRR21621041	PRJNA881852	CB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:D	1
SRR21621042	PRJNA881852	CB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:D	0
SRR21621043	PRJNA881852	CB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:CB:C	4
SRR21621044	PRJNA881852	CB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:CB:C	0
SRR21621045	PRJNA881852	VB	EXTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:B	2
SRR21621046	PRJNA881852	VB	EXTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:B	0
SRR21621047	PRJNA881852	VB	INTRACELLULAR_DNA	POST_DISINFECTION	PRJNA881852:VB:A	20
SRR21621048	PRJNA881852	VB	INTRACELLULAR_DNA	PRE_DISINFECTION	PRJNA881852:VB:A	19
SRR27639468	PRJNA1066593	CB	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:CB	3
SRR27639469	PRJNA1066593	GV	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:GV	8
SRR27639470	PRJNA1066593	VB	INTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:VB	11
SRR27639475	PRJNA1066593	CB	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:CB	1
SRR27639476	PRJNA1066593	GV	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:GV	2
SRR27639477	PRJNA1066593	VB	EXTRACELLULAR_DNA	STAGE_NOT_ENCODED	PRJNA1066593:VB	1
SRR35815510	PRJNA1346432	VB	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:VB	0
SRR35815511	PRJNA1346432	NO	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:NO	8
SRR35815512	PRJNA1346432	MZ	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:MZ	0
SRR35815513	PRJNA1346432	GV	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:GV	4
SRR35815514	PRJNA1346432	VB	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:VB	72
SRR35815515	PRJNA1346432	NO	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:NO	0
SRR35815516	PRJNA1346432	MZ	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:MZ	34
SRR35815517	PRJNA1346432	CB	EXTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:CB	1
SRR35815518	PRJNA1346432	VB	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:VB	8
SRR35815519	PRJNA1346432	NO	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:NO	79
SRR35815520	PRJNA1346432	MZ	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:MZ	60
SRR35815521	PRJNA1346432	GV	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:GV	94
SRR35815522	PRJNA1346432	VB	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:VB	127
SRR35815523	PRJNA1346432	NO	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:NO	28
SRR35815524	PRJNA1346432	MZ	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:MZ	78
SRR35815525	PRJNA1346432	CB	INTRACELLULAR_DNA	PRE_TREATMENT	PRJNA1346432:CB	12
SRR35815526	PRJNA1346432	GV	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:GV	19
SRR35815527	PRJNA1346432	CB	INTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:CB	94
SRR35815528	PRJNA1346432	GV	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:GV	0
SRR35815529	PRJNA1346432	CB	EXTRACELLULAR_DNA	POST_TREATMENT	PRJNA1346432:CB	2
