BIOPROJECT	MATCHED_UNIT_ID	PSEUDOCOUNT_FACTOR	PSEUDOCOUNT	PRE_LOG2_I_OVER_E	POST_LOG2_I_OVER_E	DELTA_LOG2_I_OVER_E
PRJNA1346432	PRJNA1346432:CB	0.1	0.0300650400	5.2280341082	7.7875029717	2.5594688635
PRJNA1346432	PRJNA1346432:GV	0.1	0.0300650400	7.0967052043	9.5855118840	2.4888066797
PRJNA1346432	PRJNA1346432:MZ	0.1	0.0300650400	12.0448596192	3.6948895606	-8.3499700586
PRJNA1346432	PRJNA1346432:NO	0.1	0.0300650400	5.7895157214	9.3246607429	3.5351450215
PRJNA1346432	PRJNA1346432:VB	0.1	0.0300650400	7.3959809924	0.5061893784	-6.8897916140
PRJNA881852	PRJNA881852:CB:C	0.1	0.0300650400	9.1109582129	1.9913075585	-7.1196506544
PRJNA881852	PRJNA881852:CB:D	0.1	0.0300650400	9.7319508161	3.6205935817	-6.1113572344
PRJNA881852	PRJNA881852:VB:A	0.1	0.0300650400	2.3920870998	0.9211100683	-1.4709770315
PRJNA881852	PRJNA881852:VB:B	0.1	0.0300650400	8.5175944683	4.1084772992	-4.4091171690
PRJNA1346432	PRJNA1346432:CB	0.25	0.0751626000	5.0488490289	7.7681699819	2.7193209530
PRJNA1346432	PRJNA1346432:GV	0.25	0.0751626000	7.0868826613	8.2663977340	1.1795150727
PRJNA1346432	PRJNA1346432:MZ	0.25	0.0751626000	10.7234435888	3.6941346021	-7.0293089868
PRJNA1346432	PRJNA1346432:NO	0.25	0.0751626000	5.7851811058	8.0061036246	2.2209225188
PRJNA1346432	PRJNA1346432:VB	0.25	0.0751626000	6.0868445577	0.5061685492	-5.5806760085
PRJNA881852	PRJNA881852:CB:C	0.25	0.0751626000	7.7929385780	1.9773865825	-5.8155519956
PRJNA881852	PRJNA881852:CB:D	0.25	0.0751626000	8.4125652972	3.5651609989	-4.8474042983
PRJNA881852	PRJNA881852:VB:A	0.25	0.0751626000	2.3794768635	0.9178756396	-1.4616012239
PRJNA881852	PRJNA881852:VB:B	0.25	0.0751626000	7.2015592467	3.9952471629	-3.2063120838
PRJNA1346432	PRJNA1346432:CB	0.5	0.1503252000	4.7945050445	7.7365182623	2.9420132178
PRJNA1346432	PRJNA1346432:GV	0.5	0.1503252000	7.0706610877	7.2710754796	0.2004143919
PRJNA1346432	PRJNA1346432:MZ	0.5	0.1503252000	9.7242966260	3.6928773619	-6.0314192641
PRJNA1346432	PRJNA1346432:NO	0.5	0.1503252000	5.7779866228	7.0117044742	1.2337178514
PRJNA1346432	PRJNA1346432:VB	0.5	0.1503252000	5.1079151357	0.5061338378	-4.6017812980
PRJNA881852	PRJNA881852:CB:C	0.5	0.1503252000	6.7994292396	1.9546757625	-4.8447534771
PRJNA881852	PRJNA881852:CB:D	0.5	0.1503252000	7.4167929913	3.4780428451	-3.9387501462
PRJNA881852	PRJNA881852:VB:A	0.5	0.1503252000	2.3588149483	0.9125367707	-1.4462781776
PRJNA881852	PRJNA881852:VB:B	0.5	0.1503252000	6.2113275264	3.8264314370	-2.3848960894
PRJNA1346432	PRJNA1346432:CB	1.0	0.3006504000	4.3966929009	7.6752432605	3.2785503596
PRJNA1346432	PRJNA1346432:GV	1.0	0.3006504000	7.0387630092	6.2803857144	-0.7583772947
PRJNA1346432	PRJNA1346432:MZ	1.0	0.3006504000	8.7260011887	3.6903667131	-5.0356344756
PRJNA1346432	PRJNA1346432:NO	1.0	0.3006504000	5.7637083393	6.0228413615	0.2591330222
PRJNA1346432	PRJNA1346432:VB	1.0	0.3006504000	4.1491549660	0.5060644293	-3.6430905366
PRJNA881852	PRJNA881852:CB:C	1.0	0.3006504000	5.8123236100	1.9109999812	-3.9013236289
PRJNA881852	PRJNA881852:CB:D	1.0	0.3006504000	6.4252113934	3.3207395868	-3.1044718066
PRJNA881852	PRJNA881852:VB:A	1.0	0.3006504000	2.3187661882	0.9020491700	-1.4167170182
PRJNA881852	PRJNA881852:VB:B	1.0	0.3006504000	5.2306678785	3.5449501494	-1.6857177291
PRJNA1346432	PRJNA1346432:CB	2.0	0.6013008000	3.8455761273	7.5600560831	3.7144799557
PRJNA1346432	PRJNA1346432:GV	2.0	0.6013008000	6.9770381238	5.2988278529	-1.6782102709
PRJNA1346432	PRJNA1346432:MZ	2.0	0.6013008000	7.7294042841	3.6853606739	-4.0440436102
PRJNA1346432	PRJNA1346432:NO	2.0	0.6013008000	5.7355842689	5.0448604940	-0.6907237749
PRJNA1346432	PRJNA1346432:VB	2.0	0.6013008000	3.2282581246	0.5059256701	-2.7223324546
PRJNA881852	PRJNA881852:CB:C	2.0	0.6013008000	4.8377716795	1.8299764816	-3.0077951979
PRJNA881852	PRJNA881852:CB:D	2.0	0.6013008000	5.4419022465	3.0580449285	-2.3838573180
PRJNA881852	PRJNA881852:VB:A	2.0	0.6013008000	2.2433688518	0.8818027513	-1.3615661005
PRJNA881852	PRJNA881852:VB:B	2.0	0.6013008000	4.2685877278	3.1252149523	-1.1433727755
