SAMPLE	STATUS	QUERY_FRAGMENTS	RESULT_ROWS
SRR21621033	OK	57170631	163
SRR21621034	OK	45149281	143
SRR21621035	OK	42907797	163
SRR21621036	OK	45464491	164
SRR21621037	OK	46707429	148
SRR21621038	OK	47186136	159
SRR21621039	OK	52246314	159
SRR21621040	OK	53693963	175
SRR21621041	OK	43946315	81
SRR21621042	OK	46654419	92
SRR21621043	OK	45059027	103
SRR21621044	OK	45433354	82
SRR21621045	OK	51266753	91
SRR21621046	OK	37421291	76
SRR21621047	OK	42730971	181
SRR21621048	OK	36823269	175
SRR27639468	OK	23104132	110
SRR27639469	OK	25966133	57
SRR27639470	OK	29244841	145
SRR27639475	OK	20334760	73
SRR27639476	OK	41175190	99
SRR27639477	OK	29935012	114
SRR35815510	OK	43790432	51
SRR35815511	OK	46440387	150
SRR35815512	OK	53406191	89
SRR35815513	OK	33728884	121
SRR35815514	OK	45288797	266
SRR35815515	OK	69528231	94
SRR35815516	OK	27066648	166
SRR35815517	OK	66522446	52
SRR35815518	OK	66352726	184
SRR35815519	OK	44400260	280
SRR35815520	OK	55367617	215
SRR35815521	OK	51597814	358
SRR35815522	OK	58366240	494
SRR35815523	OK	89775369	199
SRR35815524	OK	45345892	317
SRR35815525	OK	60007984	167
SRR35815526	OK	62899134	169
SRR35815527	OK	59713411	358
SRR35815528	OK	48111256	39
SRR35815529	OK	48219235	114
