SAMPLE	STATUS	MAPSTAT_FRAGMENTS	ORIGINAL_FRAGMENTS	RES_MATCH
SRR21621033	OK	57170631	57170631	YES
SRR21621034	OK	45149281	45149281	YES
SRR21621035	OK	42907797	42907797	YES
SRR21621036	OK	45464491	45464491	YES
SRR21621037	OK	46707429	46707429	YES
SRR21621038	OK	47186136	47186136	YES
SRR21621039	OK	52246314	52246314	YES
SRR21621040	OK	53693963	53693963	YES
SRR21621041	OK	43946315	43946315	YES
SRR21621042	OK	46654419	46654419	YES
SRR21621043	OK	45059027	45059027	YES
SRR21621044	OK	45433354	45433354	YES
SRR21621045	OK	51266753	51266753	YES
SRR21621046	OK	37421291	37421291	YES
SRR21621047	OK	42730971	42730971	YES
SRR21621048	OK	36823269	36823269	YES
SRR27639468	OK	23104132	23104132	YES
SRR27639469	OK	25966133	25966133	YES
SRR27639470	OK	29244841	29244841	YES
SRR27639475	OK	20334760	20334760	YES
SRR27639476	OK	41175190	41175190	YES
SRR27639477	OK	29935012	29935012	YES
SRR35815510	OK	43790432	43790432	YES
SRR35815511	OK	46440387	46440387	YES
SRR35815512	OK	53406191	53406191	YES
SRR35815513	OK	33728884	33728884	YES
SRR35815514	OK	45288797	45288797	YES
SRR35815515	OK	69528231	69528231	YES
SRR35815516	OK	27066648	27066648	YES
SRR35815517	OK	66522446	66522446	YES
SRR35815518	OK	66352726	66352726	YES
SRR35815519	OK	44400260	44400260	NO
SRR35815520	OK	55367617	55367617	YES
SRR35815521	OK	51597814	51597814	YES
SRR35815522	OK	58366240	58366240	YES
SRR35815523	OK	89775369	89775369	YES
SRR35815524	OK	45345892	45345892	YES
SRR35815525	OK	60007984	60007984	YES
SRR35815526	OK	62899134	62899134	YES
SRR35815527	OK	59713411	59713411	YES
SRR35815528	OK	48111256	48111256	YES
SRR35815529	OK	48219235	48219235	YES
