GENE_CLEAN	SAMPLES_DETECTED	PREVALENCE_PERCENT	TOTAL_HITS
sul1	64	80.00	64
msr(E)	54	67.50	54
mph(E)	52	65.00	52
aph(3'')-Ib	50	62.50	50
aph(6)-Id	47	58.75	47
sul2	41	51.25	41
erm(B)	37	46.25	38
ant(3'')-Ia	36	45.00	37
tet(W)	35	43.75	35
tet(O)	33	41.25	33
tet(39)	32	40.00	32
blaOXA-4	31	38.75	31
erm(F)	26	32.50	26
tet(C)	26	32.50	26
aadA5	24	30.00	24
tet(40)	23	28.75	23
tet(Q)	23	28.75	31
ant(6)-Ia	22	27.50	26
lnu(C)	22	27.50	22
mph(A)	22	27.50	22
mph(G)	22	27.50	23
blaOXA-10	21	26.25	21
blaOXA-2	21	26.25	21
mef(C)	21	26.25	26
aadA11	20	25.00	22
ant(2'')-Ia	20	25.00	20
tet(X)	18	22.50	18
aadA2	17	21.25	17
blaOXA-205	16	20.00	16
mef(A)	16	20.00	25
msr(D)	16	20.00	21
cfxA6	15	18.75	15
qnrS2	15	18.75	15
cat	14	17.50	14
ere(A)	14	17.50	14
catB3	13	16.25	13
catS	13	16.25	13
cfr(C)	13	16.25	13
aph(3')-III	12	15.00	12
cfxA3	12	15.00	12
tet(A)	12	15.00	12
tet(M)	12	15.00	15
aadA13	11	13.75	11
blaOXA-20	11	13.75	11
cmx	11	13.75	11
lnu(B)	11	13.75	11
aadA6	10	12.50	10
blaBEL-1	10	12.50	10
erm(X)	10	12.50	10
CmlA7	9	11.25	9
aac(3)-Ia	9	11.25	9
aac(6')-IIc	9	11.25	9
aac(6')-Il	9	11.25	9
aadA10	9	11.25	9
blaOXA-211	9	11.25	12
blaOXA-427	9	11.25	10
blaOXA-58	9	11.25	9
qnrB19	9	11.25	9
qnrVC4	9	11.25	9
ARR-3	8	10.00	8
ARR-8	8	10.00	8
aadA1	8	10.00	8
aadA7	8	10.00	8
blaGES-5	8	10.00	8
blaIMP-16	8	10.00	8
dfrA14	8	10.00	8
ere(D)	8	10.00	8
erm(G)	8	10.00	11
qnrVC1	8	10.00	8
aph(3')-Ia	7	8.75	7
blaIMP-33	7	8.75	7
blaOXA-296	7	8.75	14
blaOXA-333	7	8.75	9
dfrA1	7	8.75	7
lsa(E)	7	8.75	7
blaOXA-119	6	7.50	6
blaOXA-129	6	7.50	6
dfrB1	6	7.50	6
lnu(F)	6	7.50	7
mef(B)	6	7.50	6
tet(E)	6	7.50	7
tet(G)	6	7.50	7
CmlA9	5	6.25	5
aac(6')-Ib-cr	5	6.25	5
aadA16	5	6.25	5
blaOXA-101	5	6.25	5
blaOXA-212	5	6.25	5
blaOXA-280	5	6.25	6
blaOXA-347	5	6.25	5
blaOXA-46	5	6.25	5
blaVEB-1	5	6.25	5
catQ	5	6.25	5
