SAMPLE	TOTAL_RESFINDER_HITS	UNIQUE_ARG_COUNT	STATUS
SRR21621033	13	13	Detected
SRR21621034	5	5	Detected
SRR21621035	20	20	Detected
SRR21621036	28	27	Detected
SRR21621037	21	20	Detected
SRR21621038	22	21	Detected
SRR21621039	16	16	Detected
SRR21621040	17	17	Detected
SRR21621041	2	2	Detected
SRR21621042	0	0	No ResFinder hit
SRR21621043	5	5	Detected
SRR21621044	0	0	No ResFinder hit
SRR21621045	2	2	Detected
SRR21621046	0	0	No ResFinder hit
SRR21621047	22	21	Detected
SRR21621048	22	22	Detected
SRR27639468	3	3	Detected
SRR27639469	8	8	Detected
SRR27639470	12	12	Detected
SRR27639475	1	1	Detected
SRR27639476	3	3	Detected
SRR27639477	1	1	Detected
SRR29142450	80	75	Detected
SRR29142451	59	55	Detected
SRR2938125	1	1	Detected
SRR2938126	1	1	Detected
SRR2938127	6	6	Detected
SRR2938128	2	2	Detected
SRR2938129	42	41	Detected
SRR2938130	29	29	Detected
SRR2938131	9	9	Detected
SRR2938132	20	20	Detected
SRR2938311	19	19	Detected
SRR2938312	22	22	Detected
SRR2938313	14	13	Detected
SRR2938314	20	20	Detected
SRR2938315	12	12	Detected
SRR2938316	18	18	Detected
SRR2938317	18	18	Detected
SRR2938318	8	8	Detected
SRR2938319	12	12	Detected
SRR2938320	12	12	Detected
SRR2938321	14	14	Detected
SRR2938322	32	31	Detected
SRR2938323	26	26	Detected
SRR2938324	8	8	Detected
SRR2938325	6	6	Detected
SRR2938326	49	46	Detected
SRR2938327	5	5	Detected
SRR2938328	17	17	Detected
SRR2938329	28	28	Detected
SRR2938330	19	19	Detected
SRR2938331	21	21	Detected
SRR2938332	36	36	Detected
SRR2938333	38	36	Detected
SRR2938334	5	5	Detected
SRR2938335	60	56	Detected
SRR2938336	2	2	Detected
SRR33902036	13	13	Detected
SRR33902050	18	18	Detected
SRR35815510	0	0	No ResFinder hit
SRR35815511	9	8	Detected
SRR35815512	0	0	No ResFinder hit
SRR35815513	5	4	Detected
SRR35815514	89	78	Detected
SRR35815515	0	0	No ResFinder hit
SRR35815516	38	36	Detected
SRR35815517	1	1	Detected
SRR35815518	9	9	Detected
SRR35815519	94	83	Detected
SRR35815520	70	66	Detected
SRR35815521	117	100	Detected
SRR35815522	168	141	Detected
SRR35815523	30	30	Detected
SRR35815524	95	82	Detected
SRR35815525	13	13	Detected
SRR35815526	19	19	Detected
SRR35815527	114	100	Detected
SRR35815528	0	0	No ResFinder hit
SRR35815529	3	3	Detected
