BIOSAMPLE	BIOSAMPLE_COMMENT	BIOSAMPLE_ORGANISM	BIOSAMPLE_TITLE	ENA-CHECKLIST	ENA_first_public	GUNC_clade_separation_score	GUNC_contamination_score	GUNC_reference_representation_score	GUNC_version	ID	INSDC_center_name	INSDC_status	MAG_coverage_software	SPIRE_genome_cluster	SPIRE_genome_id	Submitter_Id	assembly_quality	assembly_software	binning_parameters	binning_software	collection_date	completeness_score	completeness_software	contamination_score	contig_N50	derived_from_assembly	env_broad_scale	env_medium	geo_loc_name	geographic_location_(latitude)	geographic_location_(longitude)	host	isolation_source	lat_lon	linked_to_SPIRE_sample	linked_to_SPIRE_study	linked_to_analysis_project	local_environmental_context	metagenomic_source	number_of_contigs	project_name	sample_ID	sample_derived_from	sample_name	scientific_name	taxonomic_classification	taxonomic_classification_software	taxonomic_identity_marker
SAMN04262535		Lachnospiraceae bacterium	Metagenome-Assembled Genome spire_mag_01092203 in SPIRE v01 classified as Agathobacter rectalis	ERC000047	2025-10-14	0.29	0.04	0.87	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00168	https://spire.embl.de/spire/v1/genome/spire_mag_01092203	spire_mag_01092203	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	93.76	CheckM2 v0.1.3	1.94	15687	ERZ27289542	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75806	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	236	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262535	spire_mag_01092203	Lachnospiraceae bacterium	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262537		Bifidobacterium adolescentis	Metagenome-Assembled Genome spire_mag_01092857 in SPIRE v01 classified as Bifidobacterium adolescentis	ERC000047	2025-10-13	0.0	0.0	0.94	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00075	https://spire.embl.de/spire/v1/genome/spire_mag_01092857	spire_mag_01092857	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	80.07	CheckM2 v0.1.3	2.22	7286	ERZ27289543	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75770	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	230	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262537	spire_mag_01092857	Bifidobacterium adolescentis	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262538		Ligilactobacillus ruminis	Metagenome-Assembled Genome spire_mag_01090444 in SPIRE v01 classified as Ligilactobacillus ruminis	ERC000047	2025-10-14	0.0	0.0	0.91	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00349	https://spire.embl.de/spire/v1/genome/spire_mag_01090444	spire_mag_01090444	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	59.71	CheckM2 v0.1.3	0.74	4977	ERZ27289545	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75917	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	244	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262538	spire_mag_01090444	Ligilactobacillus ruminis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262539		Lachnospiraceae bacterium	Metagenome-Assembled Genome spire_mag_01091901 in SPIRE v01 classified as Agathobacter rectalis	ERC000047	2025-10-14	0.43	0.03	0.86	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00168	https://spire.embl.de/spire/v1/genome/spire_mag_01091901	spire_mag_01091901	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	63.28	CheckM2 v0.1.3	2.04	4695	ERZ27289547	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75844	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	368	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262539	spire_mag_01091901	Lachnospiraceae bacterium	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262540	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262540.	metagenome	SPIRE v01 sample spire_sample_75816.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75816					missing: third party data								missing: third party data															spire_sample_75816	metagenome			
SAMN04262541		Bifidobacterium adolescentis	Metagenome-Assembled Genome spire_mag_01090910 in SPIRE v01 classified as Bifidobacterium adolescentis	ERC000047	2025-10-13	0.0	0.0	0.95	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00075	https://spire.embl.de/spire/v1/genome/spire_mag_01090910	spire_mag_01090910	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	81.23	CheckM2 v0.1.3	6.14	8360	ERZ27289546	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75960	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	227	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262541	spire_mag_01090910	Bifidobacterium adolescentis	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262542		Eubacteriaceae bacterium	Metagenome-Assembled Genome spire_mag_01092329 in SPIRE v01 classified as UBA7485	ERC000047	2025-10-14	0.28	0.42	0.48	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000231896	https://spire.embl.de/spire/v1/genome/spire_mag_01092329	spire_mag_01092329	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	96.25	CheckM2 v0.1.3	1.11	15472	ERZ27289548	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75724	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	229	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262542	spire_mag_01092329	Eubacteriaceae bacterium	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__UBA7485;s__	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262543		Blautia wexlerae	Metagenome-Assembled Genome spire_mag_01090534 in SPIRE v01 classified as Blautia_A wexlerae	ERC000047	2025-10-14	0.28	0.37	0.66	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00170	https://spire.embl.de/spire/v1/genome/spire_mag_01090534	spire_mag_01090534	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	84.63	CheckM2 v0.1.3	8.61	10034	ERZ27289550	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75860	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	381	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262543	spire_mag_01090534	Blautia wexlerae	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262544	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262544.	metagenome	SPIRE v01 sample spire_sample_75790.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75790					missing: third party data								missing: third party data															spire_sample_75790	metagenome			
SAMN04262546		Uruburuella suis	Metagenome-Assembled Genome spire_mag_01092746 in SPIRE v01 classified as Neisseria suis	ERC000047	2025-10-13	0.21	0.05	0.74	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_35034	https://spire.embl.de/spire/v1/genome/spire_mag_01092746	spire_mag_01092746	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	78.99	CheckM2 v0.1.3	0.91	5295	ERZ27289551	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75760	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	386	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262546	spire_mag_01092746	Uruburuella suis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis	GTDBtk v2.3.2_r214	multi-marker approach
