#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_10402	4205	6124	-	tet(O)_1	1-1920/1920	===============	0/0	100.00	99.74	resfinder	M18896	tet(O)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_10915	1371	2225	-	erm(X)_1	1-855/855	========/======	2/2	99.88	99.18	resfinder	M36726	erm(X)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_11943	133	649	-	sul2_12	300-816/816	.....==========	0/0	63.36	100.00	resfinder	AF497970	sul2	Sulfamethoxazole
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_13873	132	800	-	aadA5_1	121-789/789	..=============	0/0	84.79	100.00	resfinder	AF137361	aadA5	Spectinomycin;Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_21425	118	981	-	blaGES-5_1	1-864/864	===============	0/0	100.00	99.88	resfinder	DQ236171	blaGES-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefoxitin;Ceftazidime;Piperacillin;Ticarcillin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_21425	1055	1513	-	aac(6')-Il_1	1-459/459	===============	0/0	100.00	100.00	resfinder	U13880	aac(6')-Il	Amikacin;Tobramycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_22784	159	1407	+	cfr(C)_2	1-1249/1251	===============	0/0	99.84	100.00	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_22920	841	1725	-	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_22920	1781	3256	-	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_23060	158	617	+	aac(3)-Ia_1	51-510/534	.==============	0/0	86.14	97.61	resfinder	X15852	aac(3)-Ia	Astromicin;Fortimicin;Gentamicin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_26374	157	702	-	aac(6')-IIc_1	37-582/582	===============	0/0	93.81	100.00	resfinder	NC_012555	aac(6')-IIc	Gentamicin;Tobramycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_31232	1	729	+	mph(A)_1	178-906/906	..=============	0/0	80.46	100.00	resfinder	D16251	mph(A)	Azithromycin;Erythromycin;Spiramycin;Telithromycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_32923	253	2172	+	tet(W)_5	1-1920/1920	===============	0/0	100.00	99.74	resfinder	AJ427422	tet(W)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_3334	1	996	-	cmx_1	1-996/1176	=============..	0/0	84.69	98.49	resfinder	U85507	cmx	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_34042	109	708	+	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	99.33	resfinder	DQ303918	aac(6')-Ib-cr	Amikacin;Ciprofloxacin;Dibekacin;Fluoroquinolone;Netilmicin;Sisomicin;Tobramycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_35923	2670	3536	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_36343	1	765	+	ant(6)-Ia_3	103-867/867	.==============	0/0	88.24	99.87	resfinder	KF864551	ant(6)-Ia	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_37522	32	746	-	blaTEM-141_1	147-861/861	..=============	0/0	83.04	100.00	resfinder	AY956335	blaTEM-141	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_39134	102	635	+	ant(2'')-Ia_1	1-534/534	===============	0/0	100.00	100.00	resfinder	X04555	ant(2'')-Ia	Gentamicin;Tobramycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_41178	297	1487	-	tet(C)_3	1-1191/1191	===============	0/0	100.00	99.92	resfinder	AF055345	tet(C)	Doxycycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_42915	24	1211	-	tet(39)_2	1-1188/1188	===============	0/0	100.00	99.92	resfinder	CP044518	tet(39)	Doxycycline;Tetracycline;Tigecycline
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_43975	177	1013	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_43975	1013	1815	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_45496	1	830	-	aadA11_1	1-830/846	===============	0/0	98.11	99.76	resfinder	AY144590	aadA11	Spectinomycin;Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_45496	914	2140	-	ere(A)_2	1-1227/1227	===============	0/0	100.00	97.56	resfinder	AF099140	ere(A)	Erythromycin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_47809	1	589	+	blaOXA-224_1	243-831/831	....===========	0/0	70.88	99.83	resfinder	JN412067	blaOXA-224	
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_52	22	431	+	qnrB19_1	236-645/645	.....==========	0/0	63.57	99.76	resfinder	EU432277	qnrB19	Ciprofloxacin
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_8098	1	888	-	msr(D)_3	474-1361/1464	....==========.	0/0	60.66	97.75	resfinder	AF227520	msr(D)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Telithromycin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR2938130.contigs.fa	k141_8571	156	1376	+	tet(40)_1	1-1221/1221	===============	0/0	100.00	99.92	resfinder	FJ158002	tet(40)	Doxycycline;Tetracycline
