SAMPLE	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE	GENE_CLEAN
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_119315	692	2167	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_119315	2223	3107	+	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_208497	1	606	-	aadA11_1	1-606/846	===========....	0/0	71.63	93.56	resfinder	AY144590	aadA11	Spectinomycin;Streptomycin	aadA11
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_208497	719	1549	-	blaOXA-4_1	1-831/831	===============	0/0	100.00	100.00	resfinder	AY162283	blaOXA-4		blaOXA-4
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_231613	735	1601	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_265531	230	1030	-	blaOXA-256_1	1-801/801	===============	0/0	100.00	100.00	resfinder	HE616889	blaOXA-256		blaOXA-256
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_267023	1	805	+	aph(6)-Id_1	33-837/837	===============	0/0	96.18	99.88	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_455828	767	1339	+	aph(3'')-Ib_2	2-574/804	===========....	0/0	71.27	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_567706	1	794	+	tet(C)_3	378-1171/1191	....===========	0/0	66.67	99.75	resfinder	AF055345	tet(C)	Doxycycline;Tetracycline	tet(C)
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_570358	393	1203	+	ant(3'')-Ia_1	164-972/972	..======/======	1/2	83.23	99.63	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_576054	1	654	-	aadA2_1	7-660/819	=============..	0/0	79.85	99.85	resfinder	NC_010870	aadA2	Spectinomycin;Streptomycin	aadA2
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_589504	1	657	-	qnrS2_1	1-657/657	===============	0/0	100.00	100.00	resfinder	DQ485530	qnrS2	Ciprofloxacin	qnrS2
SRR21621033	/home/user/ww_amr_batch/contigs/SRR21621033.contigs.fa	k141_75635	15937	16677	+	blaIMP-5_1	1-741/741	===============	0/0	100.00	98.38	resfinder	AF290912	blaIMP-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	blaIMP-5
SRR21621034	/home/user/ww_amr_batch/contigs/SRR21621034.contigs.fa	k141_122050	1971	3446	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR21621034	/home/user/ww_amr_batch/contigs/SRR21621034.contigs.fa	k141_122050	3502	4199	+	mph(E)_1	1-698/885	============...	0/0	78.87	99.86	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR21621034	/home/user/ww_amr_batch/contigs/SRR21621034.contigs.fa	k141_122436	87	657	+	aadA1_5	51-621/792	============...	0/0	72.10	99.65	resfinder	JX185132	aadA1	Spectinomycin;Streptomycin	aadA1
SRR21621034	/home/user/ww_amr_batch/contigs/SRR21621034.contigs.fa	k141_201608	1	573	-	mph(N)_1	1-573/909	==========.....	0/0	63.04	95.11	resfinder	KF648874	mph(N)	Erythromycin	mph(N)
SRR21621034	/home/user/ww_amr_batch/contigs/SRR21621034.contigs.fa	k141_394843	838	1704	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_103029	92	688	-	blaIMP-16_1	145-741/741	..=============	0/0	80.57	97.49	resfinder	AJ584652	blaIMP-16	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	blaIMP-16
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_119571	538	1368	-	blaOXA-4_1	1-831/831	===============	0/0	100.00	100.00	resfinder	AY162283	blaOXA-4		blaOXA-4
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_119571	1494	2298	-	ant(3'')-Ia_1	168-972/972	..=============	0/0	82.82	99.63	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_121494	1	677	-	aadA13_1	1-677/798	=============..	0/0	84.84	98.08	resfinder	AY713504	aadA13	Spectinomycin;Streptomycin	aadA13
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_142715	1857	3280	-	tet(Q)_1	503-1926/1926	...============	0/0	73.94	98.74	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline	tet(Q)
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_165572	13	735	-	blaOXA-464_1	10-732/762	===============	0/0	94.88	82.57	resfinder	KU721146	blaOXA-464		blaOXA-464
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_178461	1	594	-	blaOXA-20_1	2-595/801	============...	0/0	74.16	100.00	resfinder	AY307114	blaOXA-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-20
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_18504	981	1865	-	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_18504	1921	3396	-	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_18512	189	1069	-	mph(A)_1	26-906/906	===============	0/0	97.24	99.89	resfinder	D16251	mph(A)	Azithromycin;Erythromycin;Spiramycin;Telithromycin	mph(A)
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_207334	1	481	+	erm(B)_1	258-738/738	.....==========	0/0	65.18	100.00	resfinder	JN899585	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_21261	1	727	+	erm(F)_3	75-801/801	.==============	0/0	90.76	100.00	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_215594	1	697	+	sul2_2	120-816/816	..=============	0/0	85.42	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_298788	1	631	-	blaOXA-10_1	1-631/801	============...	0/0	78.78	99.37	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam	blaOXA-10
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_313027	1	505	-	blaOXA-46_1	1-505/801	==========.....	0/0	63.05	100.00	resfinder	AF317511	blaOXA-46	Amoxicillin;Ampicillin	blaOXA-46
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_336694	1	761	-	tet(X)_2	226-986/1167	..===========..	0/0	65.21	99.87	resfinder	M37699	tet(X)	Doxycycline;Minocycline;Tetracycline;Tigecycline	tet(X)
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_354667	1606	2408	+	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_41444	1	852	+	cfxA6_1	145-996/996	..=============	0/0	85.54	96.60	resfinder	GQ342996	cfxA6		cfxA6
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_51527	740	1540	-	blaOXA-205_1	1-801/801	===============	0/0	100.00	99.00	resfinder	JF800667	blaOXA-205	Amoxicillin;Ampicillin;Piperacillin	blaOXA-205
SRR21621035	/home/user/ww_amr_batch/contigs/SRR21621035.contigs.fa	k141_57949	446	1312	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_102298	1019	1791	+	blaOXA-20_2	27-800/801	========/======	1/1	96.50	85.27	resfinder	AF024602	blaOXA-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-20
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_117484	398	1054	-	qnrS2_1	1-657/657	===============	0/0	100.00	100.00	resfinder	DQ485530	qnrS2	Ciprofloxacin	qnrS2
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_120779	346	1182	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_120779	1182	1752	-	aph(3'')-Ib_2	234-804/804	....===========	0/0	71.02	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
